node,intermediate_visits,in_degree,out_degree
|1,0,0,7
1|1,0,4,3
2|1,0,1,5
3|1,0,5,1
4|1,0,5,1
3*4|1,0,7,0
5|1,0,1,5
2*5|1,0,3,4
