node,intermediate_visits,in_degree,out_degree
|1,0,0,37
1|1,8,4,14
2|1,21,22,3
3|1,4,11,2
2*3|1,0,18,0
4|1,6,4,20
5|1,22,7,12
6|1,9,5,8
4*6|1,27,3,20
7|1,19,5,23
1*7|1,2,6,8
5*7|1,0,5,9
1*5*7|1,5,6,7
4*5*7|1,4,8,6
1*4*5*7|1,0,5,5
8|1,1,2,34
9|1,4,6,12
1*9|1,8,27,3
3*9|1,2,11,3
4*9|1,3,7,10
5*9|1,9,11,5
4*5*9|1,9,13,5
10|1,0,2,18
1*10|1,9,11,5
2*10|1,2,21,1
4*10|1,2,10,6
5*10|1,23,15,7
1*7*10|1,8,12,3
2*7*10|1,0,35,0
4*7*10|1,5,14,2
1*4*7*10|1,0,11,2
5*7*10|1,0,9,4
8*10|1,0,4,17
4*7*9*10|1,0,13,1
11|1,0,1,33
1*11|1,0,6,9
1*7*11|1,6,8,6
1*4*7*11|1,1,6,4
