state,x,temp,str,stable,feasible,candidate,tau,richness,abundance_mean,abundance_sd
[0  0  0  0  0  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,|1,true,true,true,NaN,0,NaN,NaN
[1  0  0  0  0  0  0  0  0  0  0],[0.98  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,1|1,true,true,true,1.0204081632653061,1,0.98,NaN
[0  1  0  0  0  0  0  0  0  0  0],[0.0  2.5  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,2|1,true,true,true,0.4,1,2.5,NaN
[1  1  0  0  0  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,1*2|1,true,false,false,1.7339796084127266,2,8.693246601092122,NaN
[0  0  1  0  0  0  0  0  0  0  0],[0.0  0.0  2.24  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,3|1,true,true,true,0.4464285714285714,1,2.24,NaN
[1  0  1  0  0  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,1*3|1,true,false,false,1.5479408985242566,2,1.968766369346422,NaN
[0  1  1  0  0  0  0  0  0  0  0],[0.0  0.8592845667090927  1.5398549350454314  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,2*3|1,true,true,true,13.32351498652895,2,1.199569750877262,0.4812359225252515
[1  1  1  0  0  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,1*2*3|1,false,false,false,0.0,3,3.0882104707606244,2.5827544989430438
[0  0  0  1  0  0  0  0  0  0  0],[0.0  0.0  0.0  1.1  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,4|1,true,true,true,0.9090909090909091,1,1.1,NaN
[1  0  0  1  0  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,1*4|1,false,false,false,0.0,2,1.2777273765338828,NaN
[0  1  0  1  0  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,2*4|1,true,false,false,0.6769893210723426,2,5.671115468475215,NaN
[1  1  0  1  0  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,1*2*4|1,true,false,false,3.3278504731876812,3,3.7252441366355034,4.499230735684185
[0  0  1  1  0  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,3*4|1,true,false,false,1.5803683696386135,2,1.4343130219084133,NaN
[1  0  1  1  0  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,1*3*4|1,false,false,false,0.0,3,7.134834179660613,NaN
[0  1  1  1  0  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,2*3*4|1,false,false,false,0.0,3,7.312224809038835,7.778128630226287
[1  1  1  1  0  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,1*2*3*4|1,false,false,false,0.0,4,6.807756693511886,6.798268188519216
[0  0  0  0  1  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  1.5  0.0  0.0  0.0  0.0  0.0  0.0],1,5|1,true,true,true,0.6666666666666666,1,1.5,NaN
[1  0  0  0  1  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,1*5|1,false,false,false,0.0,2,2.6450997498836415,NaN
[0  1  0  0  1  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,2*5|1,false,false,false,0.0,2,4.669955983947304,NaN
[1  1  0  0  1  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,1*2*5|1,false,false,false,0.0,3,8.860279908607236,NaN
[0  0  1  0  1  0  0  0  0  0  0],[0.0  0.0  0.05638650866303485  0.0  1.4080561589740554  0.0  0.0  0.0  0.0  0.0  0.0],1,3*5|1,false,true,false,0.0,2,0.7322213338185452,0.9557747756589721
[1  0  1  0  1  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,1*3*5|1,false,false,false,0.0,3,1.3200832833208254,1.8369460287813335
[0  1  1  0  1  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,2*3*5|1,true,false,false,22.594273518377385,3,1.813707781694047,1.9967917349186648
[1  1  1  0  1  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,1*2*3*5|1,false,false,false,0.0,4,36.74843321439362,27.712363828997145
[0  0  0  1  1  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,4*5|1,false,false,false,0.0,2,2.625785350526171,NaN
[1  0  0  1  1  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,1*4*5|1,false,false,false,0.0,3,1.2631271086045137,1.4731865433273357
[0  1  0  1  1  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,2*4*5|1,true,false,false,19.09729479268503,3,2.8549163182815254,3.8222120207479287
[1  1  0  1  1  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,1*2*4*5|1,false,false,false,0.0,4,4.060494080822756,5.269004902867174
[0  0  1  1  1  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,3*4*5|1,false,false,false,0.0,3,3.1572041090016967,NaN
[1  0  1  1  1  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,1*3*4*5|1,false,false,false,0.0,4,0.8330197955046085,1.1497088632702601
[0  1  1  1  1  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,2*3*4*5|1,false,false,false,0.0,4,44.64088609641945,23.357689228734273
[1  1  1  1  1  0  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0],1,1*2*3*4*5|1,false,false,false,0.0,5,20.04761981624236,22.894807954813377
[0  0  0  0  0  1  0  0  0  0  0],[0.0  0.0  0.0  0.0  0.0  0.86  0.0  0.0  0.0  0.0  0.0],1,6|1,true,true,true,1.1627906976744187,1,0.86,NaN
