s,f,a,add,del,temp,a_str,start,final
1,2,88575,1,0,0,(+1),|1,1|1
1,3,88577,1,0,0,(+2),|1,2|1
1,5,88583,1,0,0,(+3),|1,3|1
1,7,88586,2,0,0,(+2  3),|1,2*3|1
1,9,88601,1,0,0,(+4),|1,4|1
1,17,88655,1,0,0,(+5),|1,5|1
1,33,88817,1,0,0,(+6),|1,6|1
1,41,88844,2,0,0,(+4  6),|1,4*6|1
1,65,89303,1,0,0,(+7),|1,7|1
1,66,89304,2,0,0,(+1  7),|1,1*7|1
1,81,89384,2,0,0,(+5  7),|1,5*7|1
1,129,90761,1,0,0,(+8),|1,8|1
1,257,95135,1,0,0,(+9),|1,9|1
1,258,95136,2,0,0,(+1  9),|1,1*9|1
1,261,95144,2,0,0,(+3  9),|1,3*9|1
1,265,95162,2,0,0,(+4  9),|1,4*9|1
1,273,95216,2,0,0,(+5  9),|1,5*9|1
1,513,108257,1,0,0,(+10),|1,10|1
1,514,108258,2,0,0,(+1  10),|1,1*10|1
1,515,108260,2,0,0,(+2  10),|1,2*10|1
1,521,108284,2,0,0,(+4  10),|1,4*10|1
1,529,108338,2,0,0,(+5  10),|1,5*10|1
1,641,110444,2,0,0,(+8  10),|1,8*10|1
1,1025,147623,1,0,0,(+11),|1,11|1
1,1026,147624,2,0,0,(+1  11),|1,1*11|1
2,3,88577,1,0,0,(+2),1|1,2|1
2,5,88583,1,0,0,(+3),1|1,3|1
2,7,88586,2,0,0,(+2  3),1|1,2*3|1
2,17,88655,1,0,0,(+5),1|1,5|1
2,66,89303,1,0,0,(+7),1|1,1*7|1
2,82,89384,2,0,0,(+5  7),1|1,1*5*7|1
2,258,95135,1,0,0,(+9),1|1,1*9|1
2,514,108257,1,0,0,(+10),1|1,1*10|1
2,515,108260,2,0,0,(+2  10),1|1,2*10|1
2,529,108338,2,0,0,(+5  10),1|1,5*10|1
2,578,108986,2,0,0,(+7  10),1|1,1*7*10|1
2,1026,147623,1,0,0,(+11),1|1,1*11|1
2,1090,148352,2,0,0,(+7  11),1|1,1*7*11|1
3,7,88583,1,0,0,(+3),2|1,2*3|1
3,515,108257,1,0,0,(+10),2|1,2*10|1
3,579,108986,2,0,0,(+7  10),2|1,2*7*10|1
5,7,88577,1,0,0,(+2),3|1,2*3|1
5,261,95135,1,0,0,(+9),3|1,3*9|1
9,2,88575,1,0,0,(+1),4|1,1|1
9,3,88577,1,0,0,(+2),4|1,2|1
9,5,88583,1,0,0,(+3),4|1,3|1
9,7,88586,2,0,0,(+2  3),4|1,2*3|1
9,17,88655,1,0,0,(+5),4|1,5|1
9,66,89304,2,0,0,(+1  7),4|1,1*7|1
9,89,89384,2,0,0,(+5  7),4|1,4*5*7|1
9,258,95136,2,0,0,(+1  9),4|1,1*9|1
9,261,95144,2,0,0,(+3  9),4|1,3*9|1
9,265,95135,1,0,0,(+9),4|1,4*9|1
9,281,95216,2,0,0,(+5  9),4|1,4*5*9|1
9,514,108258,2,0,0,(+1  10),4|1,1*10|1
9,515,108260,2,0,0,(+2  10),4|1,2*10|1
9,521,108257,1,0,0,(+10),4|1,4*10|1
9,529,108338,2,0,0,(+5  10),4|1,5*10|1
9,585,108986,2,0,0,(+7  10),4|1,4*7*10|1
9,1026,147624,2,0,0,(+1  11),4|1,1*11|1
17,3,88577,1,0,0,(+2),5|1,2|1
17,7,88586,2,0,0,(+2  3),5|1,2*3|1
17,81,89303,1,0,0,(+7),5|1,5*7|1
17,82,89304,2,0,0,(+1  7),5|1,1*5*7|1
17,89,89330,2,0,0,(+4  7),5|1,4*5*7|1
17,258,95136,2,0,0,(+1  9),5|1,1*9|1
17,273,95135,1,0,0,(+9),5|1,5*9|1
17,281,95162,2,0,0,(+4  9),5|1,4*5*9|1
17,515,108260,2,0,0,(+2  10),5|1,2*10|1
17,529,108257,1,0,0,(+10),5|1,5*10|1
17,593,108986,2,0,0,(+7  10),5|1,5*7*10|1
33,3,88577,1,0,0,(+2),6|1,2|1
33,5,88583,1,0,0,(+3),6|1,3|1
33,7,88586,2,0,0,(+2  3),6|1,2*3|1
33,17,88682,2,0,0,(+4  5),6|1,5|1
33,41,88601,1,0,0,(+4),6|1,4*6|1
33,261,95144,2,0,0,(+3  9),6|1,3*9|1
33,515,108260,2,0,0,(+2  10),6|1,2*10|1
33,521,108284,2,0,0,(+4  10),6|1,4*10|1
41,2,88575,1,0,0,(+1),4*6|1,1|1
41,3,88577,1,0,0,(+2),4*6|1,2|1
41,5,88583,1,0,0,(+3),4*6|1,3|1
41,7,88586,2,0,0,(+2  3),4*6|1,2*3|1
41,17,88655,1,0,0,(+5),4*6|1,5|1
41,66,89304,2,0,0,(+1  7),4*6|1,1*7|1
41,89,89384,2,0,0,(+5  7),4*6|1,4*5*7|1
41,258,95136,2,0,0,(+1  9),4*6|1,1*9|1
41,261,95144,2,0,0,(+3  9),4*6|1,3*9|1
41,265,95135,1,0,0,(+9),4*6|1,4*9|1
41,281,95216,2,0,0,(+5  9),4*6|1,4*5*9|1
41,514,108258,2,0,0,(+1  10),4*6|1,1*10|1
41,515,108260,2,0,0,(+2  10),4*6|1,2*10|1
41,521,108257,1,0,0,(+10),4*6|1,4*10|1
41,529,108338,2,0,0,(+5  10),4*6|1,5*10|1
41,585,108986,2,0,0,(+7  10),4*6|1,4*7*10|1
41,1026,147624,2,0,0,(+1  11),4*6|1,1*11|1
65,3,88577,1,0,0,(+2),7|1,2|1
65,5,88583,1,0,0,(+3),7|1,3|1
65,7,88586,2,0,0,(+2  3),7|1,2*3|1
65,9,88601,1,0,0,(+4),7|1,4|1
65,66,88575,1,0,0,(+1),7|1,1*7|1
65,81,88655,1,0,0,(+5),7|1,5*7|1
65,82,88656,2,0,0,(+1  5),7|1,1*5*7|1
65,89,88682,2,0,0,(+4  5),7|1,4*5*7|1
65,257,95135,1,0,0,(+9),7|1,9|1
65,258,95136,2,0,0,(+1  9),7|1,1*9|1
65,261,95144,2,0,0,(+3  9),7|1,3*9|1
65,265,95162,2,0,0,(+4  9),7|1,4*9|1
65,273,95216,2,0,0,(+5  9),7|1,5*9|1
65,578,108258,2,0,0,(+1  10),7|1,1*7*10|1
65,579,108260,2,0,0,(+2  10),7|1,2*7*10|1
65,585,108284,2,0,0,(+4  10),7|1,4*7*10|1
65,593,108338,2,0,0,(+5  10),7|1,5*7*10|1
65,1090,147624,2,0,0,(+1  11),7|1,1*7*11|1
66,3,88577,1,0,0,(+2),1*7|1,2|1
66,5,88583,1,0,0,(+3),1*7|1,3|1
66,7,88586,2,0,0,(+2  3),1*7|1,2*3|1
66,82,88655,1,0,0,(+5),1*7|1,1*5*7|1
66,258,95135,1,0,0,(+9),1*7|1,1*9|1
66,578,108257,1,0,0,(+10),1*7|1,1*7*10|1
66,579,108260,2,0,0,(+2  10),1*7|1,2*7*10|1
66,586,108284,2,0,0,(+4  10),1*7|1,1*4*7*10|1
66,1090,147623,1,0,0,(+11),1*7|1,1*7*11|1
66,1098,147650,2,0,0,(+4  11),1*7|1,1*4*7*11|1
81,3,88577,1,0,0,(+2),5*7|1,2|1
81,7,88586,2,0,0,(+2  3),5*7|1,2*3|1
81,82,88575,1,0,0,(+1),5*7|1,1*5*7|1
81,89,88601,1,0,0,(+4),5*7|1,4*5*7|1
