node,intermediate_visits,in_degree,out_degree
|1,0,0,25
1|1,14,4,13
2|1,20,22,3
3|1,4,11,2
2*3|1,0,25,0
4|1,13,4,17
5|1,37,8,11
6|1,4,5,8
4*6|1,13,4,17
7|1,23,5,18
1*7|1,6,6,10
5*7|1,14,5,12
1*5*7|1,3,5,7
4*5*7|1,4,5,8
1*4*5*7|1,0,2,5
8|1,1,2,22
9|1,8,6,9
1*9|1,16,26,3
3*9|1,2,11,2
4*9|1,7,7,9
5*9|1,10,9,5
4*5*9|1,12,8,5
10|1,0,2,14
1*10|1,9,11,6
2*10|1,2,21,1
4*10|1,16,10,7
5*10|1,27,14,6
1*7*10|1,0,12,3
2*7*10|1,0,20,0
4*7*10|1,6,10,4
1*4*7*10|1,0,11,2
5*7*10|1,5,6,6
8*10|1,0,4,13
4*7*9*10|1,0,4,2
11|1,0,1,23
1*11|1,8,6,10
1*7*11|1,1,5,7
1*4*7*11|1,0,3,5
