node,intermediate_visits,in_degree,out_degree
|1,0,0,37
1|1,7,5,17
2|1,9,23,3
3|1,21,20,2
2*3|1,2,26,2
4|1,6,4,23
5|1,21,8,17
6|1,8,5,30
4*6|1,1,6,22
7|1,19,5,24
1*7|1,0,7,11
5*7|1,0,7,15
1*5*7|1,0,11,8
4*5*7|1,0,10,9
1*4*5*7|1,2,16,6
8|1,1,2,34
9|1,7,7,13
1*9|1,12,31,4
3*9|1,0,13,3
4*9|1,0,8,11
5*9|1,6,12,8
4*5*9|1,6,14,7
10|1,0,3,18
1*10|1,3,13,6
2*10|1,0,22,1
4*10|1,6,10,10
5*10|1,57,17,9
1*7*10|1,3,17,4
2*7*10|1,0,36,0
4*7*10|1,0,15,4
1*4*7*10|1,0,25,2
5*7*10|1,39,10,15
8*10|1,1,4,18
4*7*9*10|1,0,19,2
11|1,0,1,34
1*11|1,0,7,12
1*7*11|1,1,8,10
1*4*7*11|1,0,11,7
