node,intermediate_visits,in_degree,out_degree
|1,0,0,25
1|1,14,5,13
2|1,20,23,3
3|1,18,20,2
2*3|1,2,26,1
4|1,11,4,18
5|1,32,8,12
6|1,6,5,14
4*6|1,9,6,17
7|1,21,5,19
1*7|1,9,6,11
5*7|1,11,7,13
1*5*7|1,2,7,8
4*5*7|1,2,6,9
1*4*5*7|1,2,7,6
8|1,1,2,22
9|1,7,6,9
1*9|1,16,27,3
3*9|1,0,13,2
4*9|1,5,8,10
5*9|1,17,12,6
4*5*9|1,8,9,6
10|1,0,3,15
1*10|1,8,11,6
2*10|1,3,22,1
4*10|1,19,10,9
5*10|1,59,16,6
1*7*10|1,0,12,4
2*7*10|1,0,20,0
4*7*10|1,1,10,4
1*4*7*10|1,0,11,2
5*7*10|1,49,6,15
8*10|1,1,4,15
4*7*9*10|1,0,6,2
11|1,0,1,23
1*11|1,7,6,10
1*7*11|1,1,5,10
1*4*7*11|1,1,3,7
