node,intermediate_visits,in_degree,out_degree
|1,0,0,109
1|1,0,79,57
2|1,2,58,110
1*2|1,1,79,59
3|1,10,59,108
1*3|1,2,80,57
2*3|1,1,59,108
1*2*3|1,1,80,59
4|1,0,92,52
1*4|1,19,113,52
2*4|1,2,92,53
1*2*4|1,110,113,112
3*4|1,6,94,51
1*3*4|1,11,115,52
2*3*4|1,1,94,53
1*2*3*4|1,11,115,53
5|1,0,60,108
1*5|1,0,81,56
2*5|1,9,60,112
1*2*5|1,4,81,58
3*5|1,5,61,108
1*3*5|1,0,82,57
2*3*5|1,3,61,110
1*2*3*5|1,3,82,58
4*5|1,0,94,52
1*4*5|1,77,115,110
2*4*5|1,4,94,53
1*2*4*5|1,49,115,112
3*4*5|1,2,96,52
1*3*4*5|1,7,117,52
2*3*4*5|1,7,96,53
1*2*3*4*5|1,5,117,53
|2,0,0,109
1|2,0,81,55
2|2,1,58,109
3|2,195,82,55
4|2,36,115,43
3*4|2,11,117,30
5|2,0,60,108
2*5|2,0,60,110
|3,0,0,109
1|3,8,79,57
2|3,5,58,111
1*2|3,1,79,58
3|3,3,59,108
1*3|3,0,80,56
2*3|3,3,59,109
1*2*3|3,1,80,58
4|3,12,93,52
1*4|3,121,112,109
2*4|3,8,114,53
1*2*4|3,64,81,112
3*4|3,0,94,52
1*3*4|3,9,115,52
2*3*4|3,0,94,53
1*2*3*4|3,9,115,53
5|3,11,60,108
1*5|3,86,81,108
2*5|3,29,60,112
3*5|3,1,61,58
1*3*5|3,6,82,56
2*3*5|3,6,61,65
4*5|3,1,98,52
1*4*5|3,57,115,109
3*4*5|3,14,96,52
1*3*4*5|3,4,117,52
|4,0,0,109
1|4,0,79,57
2|4,5,59,111
1*2|4,1,81,58
3|4,5,59,108
1*3|4,0,80,57
2*3|4,0,59,108
1*2*3|4,3,82,58
4|4,5,93,52
1*4|4,104,112,109
2*4|4,2,95,53
1*2*4|4,57,115,112
3*4|4,1,93,52
1*3*4|4,8,115,52
2*3*4|4,2,96,53
1*2*3*4|4,8,117,53
5|4,0,60,108
1*5|4,44,81,108
3*5|4,3,61,108
1*3*5|4,29,82,108
4*5|4,66,93,108
1*4*5|4,4,115,108
3*4*5|4,89,95,108
1*3*4*5|4,85,116,109
|5,0,0,109
1|5,1,79,57
2|5,27,60,112
1*2|5,125,81,112
3|5,5,59,108
1*3|5,1,80,57
2*3|5,2,59,110
1*2*3|5,1,81,59
4|5,8,92,52
1*4|5,77,113,108
2*4|5,211,94,112
1*2*4|5,47,115,112
3*4|5,9,94,52
1*3*4|5,6,115,52
2*3*4|5,2,95,53
1*2*3*4|5,4,116,53
5|5,0,60,108
1*5|5,19,81,109
2*5|5,0,20,112
1*2*5|5,21,27,112
3*5|5,6,61,108
1*3*5|5,32,82,108
2*3*5|5,17,61,112
1*2*3*5|5,25,82,112
4*5|5,64,93,109
1*4*5|5,8,113,109
2*4*5|5,33,30,112
3*4*5|5,338,116,109
