node,intermediate_visits,in_degree,out_degree
|1,0,0,65
1|1,18,70,45
2|1,14,47,82
1*2|1,24,76,53
3|1,10,46,87
1*3|1,8,78,55
2*3|1,1,53,99
1*2*3|1,20,68,58
4|1,4,76,42
1*4|1,15,107,50
2*4|1,1,85,49
1*2*4|1,247,96,101
3*4|1,7,90,49
1*3*4|1,25,96,52
2*3*4|1,8,81,52
1*2*3*4|1,23,70,47
5|1,9,53,81
1*5|1,13,81,51
2*5|1,19,59,100
1*2*5|1,12,72,58
3*5|1,3,56,99
1*3*5|1,14,71,55
2*3*5|1,7,53,98
1*2*3*5|1,4,51,50
4*5|1,4,88,47
1*4*5|1,185,97,98
2*4*5|1,4,85,53
1*2*4*5|1,83,70,77
3*4*5|1,1,85,51
1*3*4*5|1,16,71,47
2*3*4*5|1,8,63,46
1*2*3*4*5|1,15,46,39
|2,0,0,65
1|2,36,81,42
2|2,6,47,81
3|2,20,82,44
4|2,10,115,33
3*4|2,23,117,29
5|2,1,53,81
2*5|2,8,59,98
|3,0,0,65
1|3,15,70,45
2|3,5,47,83
1*2|3,14,76,53
3|3,4,46,87
1*3|3,18,78,54
2*3|3,6,53,100
1*2*3|3,9,68,58
4|3,9,77,42
1*4|3,163,106,102
2*4|3,60,112,49
1*2*4|3,95,73,101
3*4|3,0,90,50
1*3*4|3,17,96,52
2*3*4|3,3,81,53
1*2*3*4|3,7,70,47
5|3,5,53,81
1*5|3,137,81,98
2*5|3,14,59,100
3*5|3,1,56,53
1*3*5|3,39,71,56
2*3*5|3,7,53,62
4*5|3,1,95,47
1*4*5|3,144,97,97
3*4*5|3,32,85,51
1*3*4*5|3,17,71,46
|4,0,0,65
1|4,14,70,44
2|4,8,49,83
1*2|4,25,81,53
3|4,5,46,87
1*3|4,18,78,54
2*3|4,3,53,99
1*2*3|4,15,70,58
4|4,3,77,42
1*4|4,84,106,102
2*4|4,17,95,49
1*2*4|4,109,95,101
3*4|4,1,89,50
1*3*4|4,22,96,52
2*3*4|4,5,83,53
1*2*3*4|4,20,70,47
5|4,7,59,81
1*5|4,59,81,98
3*5|4,15,61,98
1*3*5|4,78,71,99
4*5|4,53,93,97
1*4*5|4,29,97,96
3*4*5|4,102,84,97
1*3*4*5|4,82,71,77
|5,0,0,65
1|5,16,70,44
2|5,32,59,84
1*2|5,114,81,103
3|5,8,46,87
1*3|5,16,78,54
2*3|5,5,53,101
1*2*3|5,13,69,58
4|5,6,76,42
1*4|5,70,109,101
2*4|5,109,94,102
1*2*4|5,63,97,101
3*4|5,3,90,50
1*3*4|5,11,96,52
2*3*4|5,7,82,53
1*2*3*4|5,8,70,47
5|5,0,53,81
1*5|5,26,81,99
2*5|5,0,20,100
1*2*5|5,8,27,100
3*5|5,2,56,98
1*3*5|5,33,71,99
2*3*5|5,26,53,100
1*2*3*5|5,33,47,82
4*5|5,18,87,98
1*4*5|5,42,94,97
2*4*5|5,9,30,100
3*4*5|5,367,97,98
