node,intermediate_visits,in_degree,out_degree
|1,0,0,109
1|1,0,79,57
2|1,1,58,110
1*2|1,7,79,59
3|1,29,59,108
1*3|1,0,80,57
2*3|1,13,59,108
1*2*3|1,4,80,59
4|1,0,92,52
1*4|1,12,113,52
2*4|1,5,92,53
1*2*4|1,69,113,112
3*4|1,5,94,51
1*3*4|1,1,115,52
2*3*4|1,2,94,53
1*2*3*4|1,0,115,53
5|1,0,60,108
1*5|1,0,81,56
2*5|1,5,60,112
1*2*5|1,6,81,58
3*5|1,10,61,108
1*3*5|1,5,82,57
2*3*5|1,13,61,110
1*2*3*5|1,5,82,58
4*5|1,1,94,52
1*4*5|1,21,115,110
2*4*5|1,7,94,53
1*2*4*5|1,18,115,112
3*4*5|1,4,96,52
1*3*4*5|1,1,117,52
2*3*4*5|1,41,96,53
1*2*3*4*5|1,1,117,53
|2,0,0,109
1|2,485,81,55
2|2,1,58,109
3|2,1269,82,55
4|2,748,115,43
3*4|2,1290,117,30
5|2,0,60,108
2*5|2,2,60,110
|3,0,0,109
1|3,1,79,57
2|3,1,58,111
1*2|3,1,79,58
3|3,20,59,108
1*3|3,0,80,56
2*3|3,1,59,109
1*2*3|3,1,80,58
4|3,541,93,52
1*4|3,142,112,109
2*4|3,555,114,53
1*2*4|3,73,81,112
3*4|3,0,94,52
1*3*4|3,6,115,52
2*3*4|3,9,94,53
1*2*3*4|3,0,115,53
5|3,0,60,108
1*5|3,65,81,108
2*5|3,9,60,112
3*5|3,9,61,58
1*3*5|3,34,82,56
2*3*5|3,9,61,65
4*5|3,52,98,52
1*4*5|3,76,115,109
3*4*5|3,10,96,52
1*3*4*5|3,5,117,52
|4,0,0,109
1|4,0,79,57
2|4,1,59,111
1*2|4,20,81,58
3|4,18,59,108
1*3|4,0,80,57
2*3|4,22,59,108
1*2*3|4,51,82,58
4|4,37,93,52
1*4|4,46,112,109
2*4|4,236,95,53
1*2*4|4,47,115,112
3*4|4,3,93,52
1*3*4|4,0,115,52
2*3*4|4,10,96,53
1*2*3*4|4,1,117,53
5|4,77,60,108
1*5|4,14,81,108
3*5|4,57,61,108
1*3*5|4,3,82,108
4*5|4,169,93,108
1*4*5|4,8,115,108
3*4*5|4,87,95,108
1*3*4*5|4,83,116,109
|5,0,0,109
1|5,1,79,57
2|5,104,60,112
1*2|5,82,81,112
3|5,31,59,108
1*3|5,0,80,57
2*3|5,15,59,110
1*2*3|5,19,81,59
4|5,35,92,52
1*4|5,61,113,108
2*4|5,436,94,112
1*2*4|5,32,115,112
3*4|5,4,94,52
1*3*4|5,0,115,52
2*3*4|5,22,95,53
1*2*3*4|5,10,116,53
5|5,0,60,108
1*5|5,8,81,109
2*5|5,4,20,112
1*2*5|5,6,27,112
3*5|5,12,61,108
1*3*5|5,2,82,108
2*3*5|5,18,61,112
1*2*3*5|5,2,82,112
4*5|5,109,93,109
1*4*5|5,16,113,109
2*4*5|5,13,30,112
3*4*5|5,596,116,109
