node,intermediate_visits,in_degree,out_degree
|1,0,0,65
1|1,18,70,45
2|1,19,47,82
1*2|1,27,76,53
3|1,10,46,87
1*3|1,10,78,55
2*3|1,8,53,99
1*2*3|1,23,68,58
4|1,4,76,42
1*4|1,22,107,50
2*4|1,5,85,49
1*2*4|1,268,96,101
3*4|1,7,90,49
1*3*4|1,27,96,52
2*3*4|1,10,81,52
1*2*3*4|1,22,70,47
5|1,12,53,81
1*5|1,13,81,51
2*5|1,22,59,100
1*2*5|1,10,72,58
3*5|1,3,56,99
1*3*5|1,6,71,55
2*3*5|1,4,53,98
1*2*3*5|1,1,51,50
4*5|1,4,88,47
1*4*5|1,190,97,98
2*4*5|1,1,85,53
1*2*4*5|1,80,70,77
3*4*5|1,9,85,51
1*3*4*5|1,13,71,47
2*3*4*5|1,2,63,46
1*2*3*4*5|1,11,46,39
|2,0,0,65
1|2,36,81,42
2|2,6,47,81
3|2,21,82,44
4|2,10,115,33
3*4|2,23,117,29
5|2,1,53,81
2*5|2,10,59,98
|3,0,0,65
1|3,18,70,45
2|3,7,47,83
1*2|3,16,76,53
3|3,4,46,87
1*3|3,20,78,54
2*3|3,7,53,100
1*2*3|3,2,68,58
4|3,9,77,42
1*4|3,172,106,102
2*4|3,14,112,49
1*2*4|3,124,73,101
3*4|3,0,90,50
1*3*4|3,18,96,52
2*3*4|3,2,81,53
1*2*3*4|3,15,70,47
5|3,18,53,81
1*5|3,148,81,98
2*5|3,16,59,100
3*5|3,1,56,53
1*3*5|3,28,71,56
2*3*5|3,10,53,62
4*5|3,6,95,47
1*4*5|3,142,97,97
3*4*5|3,27,85,51
1*3*4*5|3,10,71,46
|4,0,0,65
1|4,14,70,44
2|4,10,49,83
1*2|4,28,81,53
3|4,5,46,87
1*3|4,18,78,54
2*3|4,3,53,99
1*2*3|4,16,70,58
4|4,3,77,42
1*4|4,104,106,102
2*4|4,15,95,49
1*2*4|4,128,95,101
3*4|4,2,89,50
1*3*4|4,23,96,52
2*3*4|4,4,83,53
1*2*3*4|4,19,70,47
5|4,7,59,81
1*5|4,65,81,98
3*5|4,24,61,98
1*3*5|4,68,71,99
4*5|4,48,93,97
1*4*5|4,22,97,96
3*4*5|4,106,84,97
1*3*4*5|4,49,71,77
|5,0,0,65
1|5,16,70,44
2|5,33,59,84
1*2|5,124,81,103
3|5,8,46,87
1*3|5,16,78,54
2*3|5,8,53,101
1*2*3|5,4,69,58
4|5,5,76,42
1*4|5,77,109,101
2*4|5,106,94,102
1*2*4|5,49,97,101
3*4|5,3,90,50
1*3*4|5,13,96,52
2*3*4|5,4,82,53
1*2*3*4|5,8,70,47
5|5,0,53,81
1*5|5,31,81,99
2*5|5,1,20,100
1*2*5|5,16,27,100
3*5|5,3,56,98
1*3*5|5,33,71,99
2*3*5|5,22,53,100
1*2*3*5|5,20,47,82
4*5|5,21,87,98
1*4*5|5,39,94,97
2*4*5|5,18,30,100
3*4*5|5,306,97,98
