node,intermediate_visits,in_degree,out_degree
|1,0,0,66
1|1,7,9,45
2|1,1,9,47
1*2|1,18,18,31
3|1,0,9,44
1*3|1,5,18,27
2*3|1,7,18,27
1*2*3|1,17,30,17
4|1,1,9,43
1*4|1,3,18,26
2*4|1,4,18,25
1*2*4|1,9,30,17
3*4|1,10,19,24
1*3*4|1,5,31,13
2*3*4|1,6,31,14
1*2*3*4|1,8,44,8
5|1,0,9,43
1*5|1,3,18,24
2*5|1,11,18,32
1*2*5|1,4,28,19
3*5|1,6,18,22
1*3*5|1,3,30,12
2*3*5|1,11,29,16
1*2*3*5|1,2,38,9
4*5|1,11,18,20
1*4*5|1,2,30,11
2*4*5|1,2,28,16
1*2*4*5|1,0,36,9
3*4*5|1,0,31,9
1*3*4*5|1,0,43,5
2*3*4*5|1,1,38,7
1*2*3*4*5|1,0,46,4
|2,0,0,66
1|2,360,33,43
2|2,0,9,44
3|2,868,63,44
4|2,785,61,29
3*4|2,1431,117,24
5|2,0,9,43
2*5|2,13,18,31
|3,0,0,66
1|3,3,9,45
2|3,2,9,48
1*2|3,6,18,31
3|3,1,9,44
1*3|3,8,18,27
2*3|3,7,18,27
1*2*3|3,3,30,17
4|3,677,10,43
1*4|3,132,18,26
2*4|3,132,19,29
1*2*4|3,6,29,17
3*4|3,9,19,24
1*3*4|3,0,30,13
2*3*4|3,0,30,15
1*2*3*4|3,5,43,8
5|3,0,9,43
1*5|3,18,33,24
2*5|3,4,18,32
3*5|3,0,18,22
1*3*5|3,12,53,12
2*3*5|3,6,29,16
4*5|3,20,33,20
1*4*5|3,10,51,11
3*4*5|3,13,53,9
1*3*4*5|3,4,71,5
|4,0,0,66
1|4,3,9,45
2|4,1,9,48
1*2|4,25,20,31
3|4,1,9,44
1*3|4,10,18,27
2*3|4,2,18,27
1*2*3|4,16,32,17
4|4,65,9,43
1*4|4,7,17,26
2*4|4,148,19,29
1*2*4|4,6,29,17
3*4|4,5,17,24
1*3*4|4,11,30,13
2*3*4|4,12,33,15
1*2*3*4|4,2,43,8
5|4,61,18,43
1*5|4,20,26,24
3*5|4,24,34,22
1*3*5|4,14,47,12
4*5|4,6,31,20
1*4*5|4,9,49,11
3*4*5|4,1,46,9
1*3*4*5|4,6,70,5
|5,0,0,66
1|5,8,9,45
2|5,4,9,48
1*2|5,7,18,31
3|5,1,9,44
1*3|5,9,18,27
2*3|5,6,18,27
1*2*3|5,5,30,17
4|5,39,9,43
1*4|5,2,18,26
2*4|5,24,18,29
1*2*4|5,3,30,17
3*4|5,11,19,24
1*3*4|5,0,31,13
2*3*4|5,6,31,15
1*2*3*4|5,5,44,8
5|5,0,9,43
1*5|5,10,18,24
2*5|5,0,15,32
1*2*5|5,3,26,19
3*5|5,1,18,22
1*3*5|5,5,30,12
2*3*5|5,1,28,16
1*2*3*5|5,6,38,9
4*5|5,0,17,20
1*4*5|5,15,48,11
2*4*5|5,6,26,16
3*4*5|5,111,96,9
