node,intermediate_visits,in_degree,out_degree
|1,0,0,65
1|1,19,70,45
2|1,5,47,82
1*2|1,27,76,53
3|1,10,46,87
1*3|1,10,78,55
2*3|1,6,53,99
1*2*3|1,23,68,58
4|1,4,76,42
1*4|1,20,107,50
2*4|1,3,85,49
1*2*4|1,175,96,101
3*4|1,6,90,49
1*3*4|1,20,96,52
2*3*4|1,8,81,52
1*2*3*4|1,15,70,47
5|1,1,53,81
1*5|1,13,81,51
2*5|1,16,59,100
1*2*5|1,10,72,58
3*5|1,3,56,99
1*3*5|1,14,71,55
2*3*5|1,3,53,98
1*2*3*5|1,3,51,50
4*5|1,4,88,47
1*4*5|1,120,97,98
2*4*5|1,1,85,53
1*2*4*5|1,58,70,77
3*4*5|1,2,85,51
1*3*4*5|1,9,71,47
2*3*4*5|1,5,63,46
1*2*3*4*5|1,9,46,39
|2,0,0,65
1|2,41,81,42
2|2,6,47,81
3|2,240,82,44
4|2,48,115,33
3*4|2,47,117,29
5|2,1,53,81
2*5|2,10,59,98
|3,0,0,65
1|3,15,70,45
2|3,4,47,83
1*2|3,14,76,53
3|3,4,46,87
1*3|3,20,78,54
2*3|3,7,53,100
1*2*3|3,10,68,58
4|3,10,77,42
1*4|3,124,106,102
2*4|3,44,112,49
1*2*4|3,75,73,101
3*4|3,0,90,50
1*3*4|3,12,96,52
2*3*4|3,2,81,53
1*2*3*4|3,6,70,47
5|3,3,53,81
1*5|3,102,81,98
2*5|3,15,59,100
3*5|3,1,56,53
1*3*5|3,42,71,56
2*3*5|3,8,53,62
4*5|3,3,95,47
1*4*5|3,96,97,97
3*4*5|3,27,85,51
1*3*4*5|3,11,71,46
|4,0,0,65
1|4,14,70,44
2|4,7,49,83
1*2|4,31,81,53
3|4,5,46,87
1*3|4,18,78,54
2*3|4,3,53,99
1*2*3|4,18,70,58
4|4,3,77,42
1*4|4,73,106,102
2*4|4,20,95,49
1*2*4|4,98,95,101
3*4|4,2,89,50
1*3*4|4,19,96,52
2*3*4|4,4,83,53
1*2*3*4|4,14,70,47
5|4,7,59,81
1*5|4,53,81,98
3*5|4,12,61,98
1*3*5|4,40,71,99
4*5|4,71,93,97
1*4*5|4,18,97,96
3*4*5|4,98,84,97
1*3*4*5|4,77,71,77
|5,0,0,65
1|5,17,70,44
2|5,26,59,84
1*2|5,127,81,103
3|5,8,46,87
1*3|5,16,78,54
2*3|5,7,53,101
1*2*3|5,12,69,58
4|5,5,76,42
1*4|5,81,109,101
2*4|5,174,94,102
1*2*4|5,46,97,101
3*4|5,3,90,50
1*3*4|5,9,96,52
2*3*4|5,9,82,53
1*2*3*4|5,6,70,47
5|5,0,53,81
1*5|5,26,81,99
2*5|5,0,20,100
1*2*5|5,7,27,100
3*5|5,1,56,98
1*3*5|5,24,71,99
2*3*5|5,18,53,100
1*2*3*5|5,24,47,82
4*5|5,31,87,98
1*4*5|5,37,94,97
2*4*5|5,11,30,100
3*4*5|5,445,97,98
