node,intermediate_visits,in_degree,out_degree
|1,0,0,109
1|1,0,79,57
2|1,1,58,110
1*2|1,1,79,59
3|1,11,59,108
1*3|1,1,80,57
2*3|1,0,59,108
1*2*3|1,4,80,59
4|1,0,92,52
1*4|1,14,113,52
2*4|1,1,92,53
1*2*4|1,149,113,112
3*4|1,7,94,51
1*3*4|1,13,115,52
2*3*4|1,1,94,53
1*2*3*4|1,13,115,53
5|1,0,60,108
1*5|1,0,81,56
2*5|1,3,60,112
1*2*5|1,6,81,58
3*5|1,1,61,108
1*3*5|1,2,82,57
2*3*5|1,1,61,110
1*2*3*5|1,3,82,58
4*5|1,0,94,52
1*4*5|1,105,115,110
2*4*5|1,3,94,53
1*2*4*5|1,71,115,112
3*4*5|1,1,96,52
1*3*4*5|1,10,117,52
2*3*4*5|1,6,96,53
1*2*3*4*5|1,12,117,53
|2,0,0,109
1|2,27,81,55
2|2,1,58,109
3|2,206,82,55
4|2,41,115,43
3*4|2,28,117,30
5|2,0,60,108
2*5|2,0,60,110
|3,0,0,109
1|3,2,79,57
2|3,1,58,111
1*2|3,3,79,58
3|3,5,59,108
1*3|3,0,80,56
2*3|3,2,59,109
1*2*3|3,3,80,58
4|3,11,93,52
1*4|3,107,112,109
2*4|3,45,114,53
1*2*4|3,69,81,112
3*4|3,0,94,52
1*3*4|3,10,115,52
2*3*4|3,1,94,53
1*2*3*4|3,7,115,53
5|3,3,60,108
1*5|3,84,81,108
2*5|3,12,60,112
3*5|3,0,61,58
1*3*5|3,26,82,56
2*3*5|3,5,61,65
4*5|3,2,98,52
1*4*5|3,77,115,109
3*4*5|3,18,96,52
1*3*4*5|3,13,117,52
|4,0,0,109
1|4,0,79,57
2|4,3,59,111
1*2|4,8,81,58
3|4,10,59,108
1*3|4,0,80,57
2*3|4,0,59,108
1*2*3|4,7,82,58
4|4,7,93,52
1*4|4,53,112,109
2*4|4,15,95,53
1*2*4|4,72,115,112
3*4|4,0,93,52
1*3*4|4,14,115,52
2*3*4|4,3,96,53
1*2*3*4|4,15,117,53
5|4,3,60,108
1*5|4,32,81,108
3*5|4,2,61,108
1*3*5|4,33,82,108
4*5|4,53,93,108
1*4*5|4,6,115,108
3*4*5|4,103,95,108
1*3*4*5|4,87,116,109
|5,0,0,109
1|5,1,79,57
2|5,20,60,112
1*2|5,100,81,112
3|5,9,59,108
1*3|5,0,80,57
2*3|5,1,59,110
1*2*3|5,0,81,59
4|5,4,92,52
1*4|5,67,113,108
2*4|5,163,94,112
1*2*4|5,36,115,112
3*4|5,4,94,52
1*3*4|5,8,115,52
2*3*4|5,7,95,53
1*2*3*4|5,7,116,53
5|5,0,60,108
1*5|5,11,81,109
2*5|5,0,20,112
1*2*5|5,3,27,112
3*5|5,1,61,108
1*3*5|5,16,82,108
2*3*5|5,12,61,112
1*2*3*5|5,25,82,112
4*5|5,38,93,109
1*4*5|5,9,113,109
2*4*5|5,8,30,112
3*4*5|5,443,116,109
