node,intermediate_visits,in_degree,out_degree
|1,0,0,66
1|1,14,9,45
2|1,3,9,47
1*2|1,9,18,31
3|1,0,9,44
1*3|1,9,18,27
2*3|1,16,18,27
1*2*3|1,7,30,17
4|1,11,9,43
1*4|1,8,18,26
2*4|1,12,18,25
1*2*4|1,5,30,17
3*4|1,18,19,24
1*3*4|1,7,31,13
2*3*4|1,19,31,14
1*2*3*4|1,1,44,8
5|1,5,9,43
1*5|1,4,18,24
2*5|1,27,18,32
1*2*5|1,1,28,19
3*5|1,5,18,22
1*3*5|1,3,30,12
2*3*5|1,45,29,16
1*2*3*5|1,0,38,9
4*5|1,7,18,20
1*4*5|1,2,30,11
2*4*5|1,3,28,16
1*2*4*5|1,0,36,9
3*4*5|1,1,31,9
1*3*4*5|1,0,43,5
2*3*4*5|1,0,38,7
1*2*3*4*5|1,0,46,4
|2,0,0,66
1|2,323,33,43
2|2,0,9,44
3|2,794,63,44
4|2,774,61,29
3*4|2,1493,117,24
5|2,0,9,43
2*5|2,5,18,31
|3,0,0,66
1|3,4,9,45
2|3,7,9,48
1*2|3,2,18,31
3|3,5,9,44
1*3|3,9,18,27
2*3|3,5,18,27
1*2*3|3,2,30,17
4|3,583,10,43
1*4|3,253,18,26
2*4|3,261,19,29
1*2*4|3,2,29,17
3*4|3,5,19,24
1*3*4|3,0,30,13
2*3*4|3,0,30,15
1*2*3*4|3,0,43,8
5|3,0,9,43
1*5|3,28,33,24
2*5|3,14,18,32
3*5|3,1,18,22
1*3*5|3,8,53,12
2*3*5|3,5,29,16
4*5|3,22,33,20
1*4*5|3,2,51,11
3*4*5|3,7,53,9
1*3*4*5|3,1,71,5
|4,0,0,66
1|4,3,9,45
2|4,1,9,48
1*2|4,49,20,31
3|4,4,9,44
1*3|4,4,18,27
2*3|4,5,18,27
1*2*3|4,8,32,17
4|4,88,9,43
1*4|4,14,17,26
2*4|4,17,19,29
1*2*4|4,1,29,17
3*4|4,9,17,24
1*3*4|4,0,30,13
2*3*4|4,28,33,15
1*2*3*4|4,0,43,8
5|4,69,18,43
1*5|4,12,26,24
3*5|4,39,34,22
1*3*5|4,13,47,12
4*5|4,13,31,20
1*4*5|4,8,49,11
3*4*5|4,1,46,9
1*3*4*5|4,4,70,5
|5,0,0,66
1|5,6,9,45
2|5,4,9,48
1*2|5,2,18,31
3|5,4,9,44
1*3|5,5,18,27
2*3|5,10,18,27
1*2*3|5,0,30,17
4|5,60,9,43
1*4|5,5,18,26
2*4|5,12,18,29
1*2*4|5,0,30,17
3*4|5,6,19,24
1*3*4|5,6,31,13
2*3*4|5,9,31,15
1*2*3*4|5,0,44,8
5|5,13,9,43
1*5|5,11,18,24
2*5|5,2,15,32
1*2*5|5,4,26,19
3*5|5,7,18,22
1*3*5|5,0,30,12
2*3*5|5,3,28,16
1*2*3*5|5,0,38,9
4*5|5,0,17,20
1*4*5|5,9,48,11
2*4*5|5,0,26,16
3*4*5|5,97,96,9
