node,intermediate_visits,in_degree,out_degree
|1,0,0,65
1|1,19,70,45
2|1,3,47,82
1*2|1,23,76,53
3|1,9,46,87
1*3|1,11,78,55
2*3|1,5,53,99
1*2*3|1,17,68,58
4|1,4,76,42
1*4|1,7,107,50
2*4|1,3,85,49
1*2*4|1,78,96,101
3*4|1,3,90,49
1*3*4|1,3,96,52
2*3*4|1,5,81,52
1*2*3*4|1,1,70,47
5|1,0,53,81
1*5|1,9,81,51
2*5|1,14,59,100
1*2*5|1,7,72,58
3*5|1,3,56,99
1*3*5|1,11,71,55
2*3*5|1,5,53,98
1*2*3*5|1,3,51,50
4*5|1,4,88,47
1*4*5|1,35,97,98
2*4*5|1,4,85,53
1*2*4*5|1,23,70,77
3*4*5|1,2,85,51
1*3*4*5|1,0,71,47
2*3*4*5|1,1,63,46
1*2*3*4*5|1,1,46,39
|2,0,0,65
1|2,124,81,42
2|2,7,47,81
3|2,615,82,44
4|2,298,115,33
3*4|2,166,117,29
5|2,1,53,81
2*5|2,11,59,98
|3,0,0,65
1|3,15,70,45
2|3,4,47,83
1*2|3,13,76,53
3|3,3,46,87
1*3|3,16,78,54
2*3|3,5,53,100
1*2*3|3,2,68,58
4|3,34,77,42
1*4|3,88,106,102
2*4|3,61,112,49
1*2*4|3,47,73,101
3*4|3,0,90,50
1*3*4|3,1,96,52
2*3*4|3,0,81,53
1*2*3*4|3,2,70,47
5|3,0,53,81
1*5|3,74,81,98
2*5|3,11,59,100
3*5|3,2,56,53
1*3*5|3,11,71,56
2*3*5|3,11,53,62
4*5|3,10,95,47
1*4*5|3,55,97,97
3*4*5|3,13,85,51
1*3*4*5|3,0,71,46
|4,0,0,65
1|4,14,70,44
2|4,5,49,83
1*2|4,24,81,53
3|4,5,46,87
1*3|4,3,78,54
2*3|4,1,53,99
1*2*3|4,19,70,58
4|4,4,77,42
1*4|4,53,106,102
2*4|4,42,95,49
1*2*4|4,79,95,101
3*4|4,15,89,50
1*3*4|4,2,96,52
2*3*4|4,6,83,53
1*2*3*4|4,1,70,47
5|4,14,59,81
1*5|4,28,81,98
3*5|4,18,61,98
1*3*5|4,18,71,99
4*5|4,82,93,97
1*4*5|4,26,97,96
3*4*5|4,119,84,97
1*3*4*5|4,136,71,77
|5,0,0,65
1|5,17,70,44
2|5,37,59,84
1*2|5,106,81,103
3|5,4,46,87
1*3|5,9,78,54
2*3|5,3,53,101
1*2*3|5,1,69,58
4|5,9,76,42
1*4|5,83,109,101
2*4|5,246,94,102
1*2*4|5,43,97,101
3*4|5,1,90,50
1*3*4|5,2,96,52
2*3*4|5,8,82,53
1*2*3*4|5,1,70,47
5|5,0,53,81
1*5|5,18,81,99
2*5|5,0,20,100
1*2*5|5,10,27,100
3*5|5,7,56,98
1*3*5|5,18,71,99
2*3*5|5,23,53,100
1*2*3*5|5,23,47,82
4*5|5,51,87,98
1*4*5|5,32,94,97
2*4*5|5,17,30,100
3*4*5|5,531,97,98
