node,intermediate_visits,in_degree,out_degree
|1,0,0,65
1|1,18,70,45
2|1,5,47,82
1*2|1,24,76,53
3|1,10,46,87
1*3|1,8,78,55
2*3|1,4,53,99
1*2*3|1,23,68,58
4|1,4,76,42
1*4|1,19,107,50
2*4|1,1,85,49
1*2*4|1,172,96,101
3*4|1,6,90,49
1*3*4|1,21,96,52
2*3*4|1,7,81,52
1*2*3*4|1,16,70,47
5|1,1,53,81
1*5|1,13,81,51
2*5|1,13,59,100
1*2*5|1,13,72,58
3*5|1,2,56,99
1*3*5|1,14,71,55
2*3*5|1,4,53,98
1*2*3*5|1,3,51,50
4*5|1,4,88,47
1*4*5|1,117,97,98
2*4*5|1,4,85,53
1*2*4*5|1,63,70,77
3*4*5|1,1,85,51
1*3*4*5|1,8,71,47
2*3*4*5|1,8,63,46
1*2*3*4*5|1,11,46,39
|2,0,0,65
1|2,50,81,42
2|2,6,47,81
3|2,242,82,44
4|2,50,115,33
3*4|2,49,117,29
5|2,1,53,81
2*5|2,8,59,98
|3,0,0,65
1|3,16,70,45
2|3,5,47,83
1*2|3,14,76,53
3|3,4,46,87
1*3|3,19,78,54
2*3|3,7,53,100
1*2*3|3,9,68,58
4|3,13,77,42
1*4|3,124,106,102
2*4|3,44,112,49
1*2*4|3,74,73,101
3*4|3,0,90,50
1*3*4|3,12,96,52
2*3*4|3,3,81,53
1*2*3*4|3,7,70,47
5|3,3,53,81
1*5|3,102,81,98
2*5|3,14,59,100
3*5|3,1,56,53
1*3*5|3,40,71,56
2*3*5|3,8,53,62
4*5|3,1,95,47
1*4*5|3,96,97,97
3*4*5|3,28,85,51
1*3*4*5|3,15,71,46
|4,0,0,65
1|4,14,70,44
2|4,7,49,83
1*2|4,26,81,53
3|4,5,46,87
1*3|4,18,78,54
2*3|4,3,53,99
1*2*3|4,19,70,58
4|4,5,77,42
1*4|4,69,106,102
2*4|4,19,95,49
1*2*4|4,99,95,101
3*4|4,3,89,50
1*3*4|4,17,96,52
2*3*4|4,6,83,53
1*2*3*4|4,16,70,47
5|4,7,59,81
1*5|4,51,81,98
3*5|4,12,61,98
1*3*5|4,42,71,99
4*5|4,71,93,97
1*4*5|4,21,97,96
3*4*5|4,98,84,97
1*3*4*5|4,81,71,77
|5,0,0,65
1|5,16,70,44
2|5,30,59,84
1*2|5,135,81,103
3|5,8,46,87
1*3|5,16,78,54
2*3|5,5,53,101
1*2*3|5,10,69,58
4|5,7,76,42
1*4|5,76,109,101
2*4|5,175,94,102
1*2*4|5,50,97,101
3*4|5,4,90,50
1*3*4|5,11,96,52
2*3*4|5,8,82,53
1*2*3*4|5,6,70,47
5|5,0,53,81
1*5|5,24,81,99
2*5|5,0,20,100
1*2*5|5,7,27,100
3*5|5,1,56,98
1*3*5|5,27,71,99
2*3*5|5,19,53,100
1*2*3*5|5,26,47,82
4*5|5,32,87,98
1*4*5|5,37,94,97
2*4*5|5,12,30,100
3*4*5|5,454,97,98
