node,intermediate_visits,in_degree,out_degree
|1,0,0,65
1|1,20,70,45
2|1,20,47,82
1*2|1,28,76,53
3|1,17,46,87
1*3|1,10,78,55
2*3|1,6,53,99
1*2*3|1,23,68,58
4|1,4,76,42
1*4|1,24,107,50
2*4|1,3,85,49
1*2*4|1,275,96,101
3*4|1,16,90,49
1*3*4|1,29,96,52
2*3*4|1,6,81,52
1*2*3*4|1,24,70,47
5|1,11,53,81
1*5|1,15,81,51
2*5|1,24,59,100
1*2*5|1,12,72,58
3*5|1,5,56,99
1*3*5|1,7,71,55
2*3*5|1,6,53,98
1*2*3*5|1,3,51,50
4*5|1,4,88,47
1*4*5|1,179,97,98
2*4*5|1,4,85,53
1*2*4*5|1,107,70,77
3*4*5|1,10,85,51
1*3*4*5|1,17,71,47
2*3*4*5|1,7,63,46
1*2*3*4*5|1,14,46,39
|2,0,0,65
1|2,45,81,42
2|2,6,47,81
3|2,33,82,44
4|2,13,115,33
3*4|2,21,117,29
5|2,1,53,81
2*5|2,11,59,98
|3,0,0,65
1|3,19,70,45
2|3,5,47,83
1*2|3,14,76,53
3|3,1,46,87
1*3|3,19,78,54
2*3|3,8,53,100
1*2*3|3,3,68,58
4|3,16,77,42
1*4|3,175,106,102
2*4|3,14,112,49
1*2*4|3,124,73,101
3*4|3,0,90,50
1*3*4|3,19,96,52
2*3*4|3,2,81,53
1*2*3*4|3,17,70,47
5|3,19,53,81
1*5|3,166,81,98
2*5|3,23,59,100
3*5|3,2,56,53
1*3*5|3,25,71,56
2*3*5|3,11,53,62
4*5|3,11,95,47
1*4*5|3,133,97,97
3*4*5|3,25,85,51
1*3*4*5|3,7,71,46
|4,0,0,65
1|4,14,70,44
2|4,7,49,83
1*2|4,28,81,53
3|4,1,46,87
1*3|4,19,78,54
2*3|4,6,53,99
1*2*3|4,14,70,58
4|4,9,77,42
1*4|4,107,106,102
2*4|4,15,95,49
1*2*4|4,126,95,101
3*4|4,4,89,50
1*3*4|4,26,96,52
2*3*4|4,9,83,53
1*2*3*4|4,21,70,47
5|4,11,59,81
1*5|4,67,81,98
3*5|4,26,61,98
1*3*5|4,66,71,99
4*5|4,55,93,97
1*4*5|4,17,97,96
3*4*5|4,105,84,97
1*3*4*5|4,45,71,77
|5,0,0,65
1|5,17,70,44
2|5,36,59,84
1*2|5,123,81,103
3|5,4,46,87
1*3|5,17,78,54
2*3|5,8,53,101
1*2*3|5,5,69,58
4|5,6,76,42
1*4|5,81,109,101
2*4|5,106,94,102
1*2*4|5,47,97,101
3*4|5,2,90,50
1*3*4|5,17,96,52
2*3*4|5,10,82,53
1*2*3*4|5,9,70,47
5|5,0,53,81
1*5|5,33,81,99
2*5|5,1,20,100
1*2*5|5,21,27,100
3*5|5,4,56,98
1*3*5|5,40,71,99
2*3*5|5,23,53,100
1*2*3*5|5,22,47,82
4*5|5,25,87,98
1*4*5|5,37,94,97
2*4*5|5,19,30,100
3*4*5|5,276,97,98
