node,intermediate_visits,in_degree,out_degree
|1,0,0,109
1|1,0,79,57
2|1,2,58,110
1*2|1,3,79,59
3|1,2,59,108
1*3|1,2,80,57
2*3|1,0,59,108
1*2*3|1,2,80,59
4|1,0,92,52
1*4|1,17,113,52
2*4|1,3,92,53
1*2*4|1,238,113,112
3*4|1,16,94,51
1*3*4|1,18,115,52
2*3*4|1,1,94,53
1*2*3*4|1,22,115,53
5|1,0,60,108
1*5|1,0,81,56
2*5|1,5,60,112
1*2*5|1,2,81,58
3*5|1,2,61,108
1*3*5|1,1,82,57
2*3*5|1,3,61,110
1*2*3*5|1,4,82,58
4*5|1,0,94,52
1*4*5|1,168,115,110
2*4*5|1,1,94,53
1*2*4*5|1,124,115,112
3*4*5|1,1,96,52
1*3*4*5|1,20,117,52
2*3*4*5|1,7,96,53
1*2*3*4*5|1,17,117,53
|2,0,0,109
1|2,12,81,55
2|2,1,58,109
3|2,25,82,55
4|2,13,115,43
3*4|2,6,117,30
5|2,0,60,108
2*5|2,2,60,110
|3,0,0,109
1|3,4,79,57
2|3,2,58,111
1*2|3,1,79,58
3|3,1,59,108
1*3|3,0,80,56
2*3|3,2,59,109
1*2*3|3,2,80,58
4|3,15,93,52
1*4|3,157,112,109
2*4|3,10,114,53
1*2*4|3,119,81,112
3*4|3,0,94,52
1*3*4|3,15,115,52
2*3*4|3,1,94,53
1*2*3*4|3,20,115,53
5|3,19,60,108
1*5|3,131,81,108
2*5|3,20,60,112
3*5|3,1,61,58
1*3*5|3,17,82,56
2*3*5|3,4,61,65
4*5|3,5,98,52
1*4*5|3,129,115,109
3*4*5|3,16,96,52
1*3*4*5|3,7,117,52
|4,0,0,109
1|4,0,79,57
2|4,3,59,111
1*2|4,6,81,58
3|4,11,59,108
1*3|4,0,80,57
2*3|4,0,59,108
1*2*3|4,3,82,58
4|4,13,93,52
1*4|4,89,112,109
2*4|4,3,95,53
1*2*4|4,102,115,112
3*4|4,2,93,52
1*3*4|4,12,115,52
2*3*4|4,8,96,53
1*2*3*4|4,23,117,53
5|4,4,60,108
1*5|4,57,81,108
3*5|4,8,61,108
1*3*5|4,65,82,108
4*5|4,51,93,108
1*4*5|4,6,115,108
3*4*5|4,100,95,108
1*3*4*5|4,53,116,109
|5,0,0,109
1|5,1,79,57
2|5,19,60,112
1*2|5,91,81,112
3|5,1,59,108
1*3|5,1,80,57
2*3|5,2,59,110
1*2*3|5,3,81,59
4|5,4,92,52
1*4|5,70,113,108
2*4|5,99,94,112
1*2*4|5,45,115,112
3*4|5,2,94,52
1*3*4|5,15,115,52
2*3*4|5,8,95,53
1*2*3*4|5,9,116,53
5|5,0,60,108
1*5|5,16,81,109
2*5|5,0,20,112
1*2*5|5,7,27,112
3*5|5,3,61,108
1*3*5|5,35,82,108
2*3*5|5,15,61,112
1*2*3*5|5,24,82,112
4*5|5,27,93,109
1*4*5|5,16,113,109
2*4*5|5,5,30,112
3*4*5|5,253,116,109
