node,intermediate_visits,in_degree,out_degree
|1,0,0,65
1|1,18,70,45
2|1,4,47,82
1*2|1,7,76,53
3|1,12,46,87
1*3|1,5,78,55
2*3|1,14,53,99
1*2*3|1,15,68,58
4|1,4,76,42
1*4|1,5,107,50
2*4|1,3,85,49
1*2*4|1,62,96,101
3*4|1,4,90,49
1*3*4|1,2,96,52
2*3*4|1,5,81,52
1*2*3*4|1,1,70,47
5|1,0,53,81
1*5|1,12,81,51
2*5|1,14,59,100
1*2*5|1,5,72,58
3*5|1,3,56,99
1*3*5|1,3,71,55
2*3*5|1,7,53,98
1*2*3*5|1,2,51,50
4*5|1,6,88,47
1*4*5|1,36,97,98
2*4*5|1,7,85,53
1*2*4*5|1,21,70,77
3*4*5|1,7,85,51
1*3*4*5|1,0,71,47
2*3*4*5|1,4,63,46
1*2*3*4*5|1,0,46,39
|2,0,0,65
1|2,115,81,42
2|2,6,47,81
3|2,621,82,44
4|2,302,115,33
3*4|2,167,117,29
5|2,1,53,81
2*5|2,11,59,98
|3,0,0,65
1|3,17,70,45
2|3,4,47,83
1*2|3,10,76,53
3|3,5,46,87
1*3|3,8,78,54
2*3|3,5,53,100
1*2*3|3,3,68,58
4|3,31,77,42
1*4|3,96,106,102
2*4|3,54,112,49
1*2*4|3,41,73,101
3*4|3,0,90,50
1*3*4|3,1,96,52
2*3*4|3,0,81,53
1*2*3*4|3,0,70,47
5|3,0,53,81
1*5|3,64,81,98
2*5|3,11,59,100
3*5|3,10,56,53
1*3*5|3,8,71,56
2*3*5|3,11,53,62
4*5|3,11,95,47
1*4*5|3,39,97,97
3*4*5|3,8,85,51
1*3*4*5|3,0,71,46
|4,0,0,65
1|4,14,70,44
2|4,5,49,83
1*2|4,16,81,53
3|4,9,46,87
1*3|4,2,78,54
2*3|4,0,53,99
1*2*3|4,19,70,58
4|4,3,77,42
1*4|4,56,106,102
2*4|4,40,95,49
1*2*4|4,71,95,101
3*4|4,15,89,50
1*3*4|4,2,96,52
2*3*4|4,4,83,53
1*2*3*4|4,0,70,47
5|4,14,59,81
1*5|4,27,81,98
3*5|4,14,61,98
1*3*5|4,23,71,99
4*5|4,97,93,97
1*4*5|4,16,97,96
3*4*5|4,126,84,97
1*3*4*5|4,134,71,77
|5,0,0,65
1|5,16,70,44
2|5,39,59,84
1*2|5,105,81,103
3|5,8,46,87
1*3|5,8,78,54
2*3|5,8,53,101
1*2*3|5,4,69,58
4|5,12,76,42
1*4|5,94,109,101
2*4|5,256,94,102
1*2*4|5,31,97,101
3*4|5,0,90,50
1*3*4|5,2,96,52
2*3*4|5,7,82,53
1*2*3*4|5,3,70,47
5|5,0,53,81
1*5|5,22,81,99
2*5|5,0,20,100
1*2*5|5,10,27,100
3*5|5,8,56,98
1*3*5|5,23,71,99
2*3*5|5,25,53,100
1*2*3*5|5,17,47,82
4*5|5,49,87,98
1*4*5|5,17,94,97
2*4*5|5,18,30,100
3*4*5|5,530,97,98
