node,intermediate_visits,in_degree,out_degree
|1,0,0,113
1|1,0,9,57
2|1,0,9,63
1*2|1,2,18,35
3|1,0,9,55
1*3|1,0,18,28
2*3|1,0,18,29
1*2*3|1,1,35,17
4|1,0,9,53
1*4|1,0,18,27
2*4|1,0,18,28
1*2*4|1,2,35,17
3*4|1,9,19,25
1*3*4|1,0,36,13
2*3*4|1,1,36,14
1*2*3*4|1,3,69,8
5|1,0,9,51
1*5|1,0,18,25
2*5|1,4,18,35
1*2*5|1,1,33,19
3*5|1,0,18,23
1*3*5|1,0,35,12
2*3*5|1,6,34,16
1*2*3*5|1,0,63,9
4*5|1,0,18,21
1*4*5|1,0,35,11
2*4*5|1,1,33,16
1*2*4*5|1,0,61,9
3*4*5|1,0,36,9
1*3*4*5|1,0,68,5
2*3*4*5|1,1,63,7
1*2*3*4*5|1,0,117,4
|2,0,0,113
1|2,349,33,53
2|2,0,9,58
3|2,921,63,55
4|2,760,61,37
3*4|2,1386,117,27
5|2,0,9,51
2*5|2,12,18,34
|3,0,0,113
1|3,0,9,57
2|3,0,9,66
1*2|3,1,18,35
3|3,0,9,55
1*3|3,0,18,28
2*3|3,0,18,30
1*2*3|3,0,35,17
4|3,704,10,53
1*4|3,74,18,27
2*4|3,84,19,32
1*2*4|3,0,34,17
3*4|3,12,19,25
1*3*4|3,0,35,13
2*3*4|3,1,35,15
1*2*3*4|3,0,68,8
5|3,0,9,51
1*5|3,14,33,25
2*5|3,1,18,35
3*5|3,0,18,23
1*3*5|3,13,63,12
2*3*5|3,0,34,16
4*5|3,14,33,21
1*4*5|3,1,61,11
3*4*5|3,4,63,9
1*3*4*5|3,1,117,5
|4,0,0,113
1|4,0,9,57
2|4,0,9,65
1*2|4,13,20,35
3|4,0,9,55
1*3|4,0,18,28
2*3|4,0,18,29
1*2*3|4,3,37,17
4|4,63,9,53
1*4|4,0,17,27
2*4|4,130,19,32
1*2*4|4,0,34,17
3*4|4,0,17,25
1*3*4|4,0,35,13
2*3*4|4,6,38,15
1*2*3*4|4,0,68,8
5|4,70,18,51
1*5|4,9,26,25
3*5|4,18,34,23
1*3*5|4,12,54,12
4*5|4,4,31,21
1*4*5|4,5,57,11
3*4*5|4,1,53,9
1*3*4*5|4,3,112,5
|5,0,0,113
1|5,1,9,57
2|5,3,9,66
1*2|5,1,18,35
3|5,0,9,55
1*3|5,0,18,28
2*3|5,0,18,30
1*2*3|5,0,35,17
4|5,38,9,53
1*4|5,0,18,27
2*4|5,12,18,32
1*2*4|5,0,35,17
3*4|5,7,19,25
1*3*4|5,0,36,13
2*3*4|5,1,36,15
1*2*3*4|5,0,69,8
5|5,0,9,51
1*5|5,0,18,25
2*5|5,0,15,35
1*2*5|5,1,31,19
3*5|5,0,18,23
1*3*5|5,0,35,12
2*3*5|5,0,33,16
1*2*3*5|5,0,61,9
4*5|5,0,17,21
1*4*5|5,11,57,11
2*4*5|5,0,31,16
3*4*5|5,113,114,9
