node,intermediate_visits,in_degree,out_degree
|1,0,0,113
1|1,0,9,57
2|1,0,9,63
1*2|1,2,18,35
3|1,0,9,55
1*3|1,0,18,28
2*3|1,0,18,29
1*2*3|1,1,35,17
4|1,0,9,53
1*4|1,0,18,27
2*4|1,1,18,28
1*2*4|1,1,35,17
3*4|1,9,19,25
1*3*4|1,0,36,13
2*3*4|1,0,36,14
1*2*3*4|1,0,69,8
5|1,0,9,51
1*5|1,0,18,25
2*5|1,4,18,35
1*2*5|1,2,33,19
3*5|1,0,18,23
1*3*5|1,0,35,12
2*3*5|1,7,34,16
1*2*3*5|1,0,63,9
4*5|1,0,18,21
1*4*5|1,0,35,11
2*4*5|1,1,33,16
1*2*4*5|1,2,61,9
3*4*5|1,0,36,9
1*3*4*5|1,0,68,5
2*3*4*5|1,1,63,7
1*2*3*4*5|1,1,117,4
|2,0,0,113
1|2,353,33,53
2|2,0,9,58
3|2,925,63,55
4|2,762,61,37
3*4|2,1389,117,27
5|2,0,9,51
2*5|2,11,18,34
|3,0,0,113
1|3,0,9,57
2|3,0,9,66
1*2|3,1,18,35
3|3,0,9,55
1*3|3,0,18,28
2*3|3,0,18,30
1*2*3|3,0,35,17
4|3,874,10,53
1*4|3,0,18,27
2*4|3,0,19,32
1*2*4|3,0,34,17
3*4|3,0,19,25
1*3*4|3,0,35,13
2*3*4|3,0,35,15
1*2*3*4|3,0,68,8
5|3,0,9,51
1*5|3,12,33,25
2*5|3,1,18,35
3*5|3,0,18,23
1*3*5|3,10,63,12
2*3*5|3,0,34,16
4*5|3,13,33,21
1*4*5|3,1,61,11
3*4*5|3,5,63,9
1*3*4*5|3,5,117,5
|4,0,0,113
1|4,0,9,57
2|4,0,9,65
1*2|4,12,20,35
3|4,0,9,55
1*3|4,0,18,28
2*3|4,0,18,29
1*2*3|4,3,37,17
4|4,66,9,53
1*4|4,0,17,27
2*4|4,126,19,32
1*2*4|4,0,34,17
3*4|4,0,17,25
1*3*4|4,0,35,13
2*3*4|4,9,38,15
1*2*3*4|4,0,68,8
5|4,71,18,51
1*5|4,9,26,25
3*5|4,18,34,23
1*3*5|4,11,54,12
4*5|4,3,31,21
1*4*5|4,3,57,11
3*4*5|4,2,53,9
1*3*4*5|4,5,112,5
|5,0,0,113
1|5,1,9,57
2|5,4,9,66
1*2|5,1,18,35
3|5,0,9,55
1*3|5,0,18,28
2*3|5,0,18,30
1*2*3|5,0,35,17
4|5,51,9,53
1*4|5,0,18,27
2*4|5,0,18,32
1*2*4|5,0,35,17
3*4|5,7,19,25
1*3*4|5,0,36,13
2*3*4|5,0,36,15
1*2*3*4|5,0,69,8
5|5,0,9,51
1*5|5,0,18,25
2*5|5,0,15,35
1*2*5|5,1,31,19
3*5|5,0,18,23
1*3*5|5,0,35,12
2*3*5|5,0,33,16
1*2*3*5|5,0,61,9
4*5|5,0,17,21
1*4*5|5,11,57,11
2*4*5|5,0,31,16
3*4*5|5,101,114,9
