node,intermediate_visits,in_degree,out_degree
|1,0,0,109
1|1,0,79,57
2|1,3,58,110
1*2|1,1,79,59
3|1,19,59,108
1*3|1,1,80,57
2*3|1,0,59,108
1*2*3|1,1,80,59
4|1,0,92,52
1*4|1,17,113,52
2*4|1,2,92,53
1*2*4|1,85,113,112
3*4|1,6,94,51
1*3*4|1,8,115,52
2*3*4|1,1,94,53
1*2*3*4|1,10,115,53
5|1,0,60,108
1*5|1,0,81,56
2*5|1,8,60,112
1*2*5|1,4,81,58
3*5|1,6,61,108
1*3*5|1,0,82,57
2*3*5|1,3,61,110
1*2*3*5|1,4,82,58
4*5|1,0,94,52
1*4*5|1,65,115,110
2*4*5|1,4,94,53
1*2*4*5|1,54,115,112
3*4*5|1,0,96,52
1*3*4*5|1,7,117,52
2*3*4*5|1,5,96,53
1*2*3*4*5|1,12,117,53
|2,0,0,109
1|2,3,81,55
2|2,1,58,109
3|2,256,82,55
4|2,45,115,43
3*4|2,18,117,30
5|2,0,60,108
2*5|2,0,60,110
|3,0,0,109
1|3,8,79,57
2|3,3,58,111
1*2|3,1,79,58
3|3,6,59,108
1*3|3,0,80,56
2*3|3,2,59,109
1*2*3|3,1,80,58
4|3,15,93,52
1*4|3,121,112,109
2*4|3,8,114,53
1*2*4|3,62,81,112
3*4|3,0,94,52
1*3*4|3,7,115,52
2*3*4|3,0,94,53
1*2*3*4|3,9,115,53
5|3,17,60,108
1*5|3,82,81,108
2*5|3,30,60,112
3*5|3,0,61,58
1*3*5|3,4,82,56
2*3*5|3,6,61,65
4*5|3,0,98,52
1*4*5|3,46,115,109
3*4*5|3,8,96,52
1*3*4*5|3,2,117,52
|4,0,0,109
1|4,0,79,57
2|4,6,59,111
1*2|4,1,81,58
3|4,11,59,108
1*3|4,0,80,57
2*3|4,0,59,108
1*2*3|4,3,82,58
4|4,5,93,52
1*4|4,103,112,109
2*4|4,2,95,53
1*2*4|4,57,115,112
3*4|4,0,93,52
1*3*4|4,6,115,52
2*3*4|4,1,96,53
1*2*3*4|4,10,117,53
5|4,0,60,108
1*5|4,40,81,108
3*5|4,1,61,108
1*3*5|4,33,82,108
4*5|4,58,93,108
1*4*5|4,2,115,108
3*4*5|4,92,95,108
1*3*4*5|4,77,116,109
|5,0,0,109
1|5,1,79,57
2|5,27,60,112
1*2|5,132,81,112
3|5,9,59,108
1*3|5,0,80,57
2*3|5,2,59,110
1*2*3|5,1,81,59
4|5,8,92,52
1*4|5,78,113,108
2*4|5,232,94,112
1*2*4|5,38,115,112
3*4|5,8,94,52
1*3*4|5,5,115,52
2*3*4|5,2,95,53
1*2*3*4|5,4,116,53
5|5,0,60,108
1*5|5,17,81,109
2*5|5,0,20,112
1*2*5|5,17,27,112
3*5|5,6,61,108
1*3*5|5,33,82,108
2*3*5|5,18,61,112
1*2*3*5|5,26,82,112
4*5|5,68,93,109
1*4*5|5,6,113,109
2*4*5|5,29,30,112
3*4*5|5,388,116,109
