"Dataset","name","number","abbreviation"
"Ciliate","Maynard",1,"17"
"Ciliate+environment3","Maynard15-19-23",1,"15"
"Ciliate+environment3","Maynard15-19-23",2,"19"
"Ciliate+environment3","Maynard15-19-23",3,"23"
"Ciliate+environment5","Maynard15-17-19-21-23",1,"15"
"Ciliate+environment5","Maynard15-17-19-21-23",2,"17"
"Ciliate+environment5","Maynard15-17-19-21-23",3,"19"
"Ciliate+environment5","Maynard15-17-19-21-23",4,"21"
"Ciliate+environment5","Maynard15-17-19-21-23",5,"23"
"Human gut","Venturelli",1,""
"Mouse gut","Bucci",1,""
"Protist","Carrara",1,""
