start,goal,net_add,net_del,net_temp,full_path,path,action,a_star_cost,a_star_ops,a_star_add,a_star_del,a_star_temp
2|1,1*3*4|3,3,1,1,[2|1]~~{(+1  3  4)(-2)(*3)}~~>[1*3*4|3],[2|1]~>[1*3*4|3],{(+1  3  4)(-2)(*3)}~,41.1,1,3,1,1
2|1,2*3*4|3,2,0,1,[2|1]~~{(+3  4)(*3)}~~>[2*3*4|3],[2|1]~>[2*3*4|3],{(+3  4)(*3)}~,30.1,1,2,0,1
2|1,1*2*3*4|3,3,0,1,[2|1]~~{(+1  3  4)(*3)}~~>[1*2*3*4|3],[2|1]~>[1*2*3*4|3],{(+1  3  4)(*3)}~,40.1,1,3,0,1
2|1,5|3,1,1,1,[2|1]~~{(+5)(-2)(*3)}~~>[5|3],[2|1]~>[5|3],{(+5)(-2)(*3)}~,21.1,1,1,1,1
2|1,1*5|3,2,1,1,[2|1]~~{(+1  5)(-2)(*3)}~~>[1*5|3],[2|1]~>[1*5|3],{(+1  5)(-2)(*3)}~,31.1,1,2,1,1
2|1,2*5|3,1,0,1,[2|1]~~{(+5)(*3)}~~>[2*5|3],[2|1]~>[2*5|3],{(+5)(*3)}~,20.1,1,1,0,1
2|1,1*2*5|3,2,0,1,[2|1]~~{(+1)}~~>[1*2|1]~~{(+5)(*3)}~~>[1*2*5|3],[2|1]~>[1*2|1]~>[1*2*5|3],{(+1)}~{(+5)(*3)}~,30.200000000000003,2,2,0,1
2|1,3*5|3,2,1,1,[2|1]~~{(+3  5)(-2)(*3)}~~>[3*5|3],[2|1]~>[3*5|3],{(+3  5)(-2)(*3)}~,31.1,1,2,1,1
2|1,1*3*5|3,3,1,1,[2|1]~~{(+1  3  5)(-2)(*3)}~~>[1*3*5|3],[2|1]~>[1*3*5|3],{(+1  3  5)(-2)(*3)}~,41.1,1,3,1,1
2|1,2*3*5|3,2,0,1,[2|1]~~{(+3  5)(*3)}~~>[2*3*5|3],[2|1]~>[2*3*5|3],{(+3  5)(*3)}~,30.1,1,2,0,1
2|1,1*2*3*5|3,3,0,1,[2|1]~~{(+1  3  5)(*3)}~~>[1*2*3*5|3],[2|1]~>[1*2*3*5|3],{(+1  3  5)(*3)}~,40.1,1,3,0,1
2|1,4*5|3,2,1,1,[2|1]~~{(+4  5)(-2)(*3)}~~>[4*5|3],[2|1]~>[4*5|3],{(+4  5)(-2)(*3)}~,31.1,1,2,1,1
2|1,1*4*5|3,3,1,1,[2|1]~~{(+1)(*3)}~~>[1*2|3]~~{(+4  5)}~~>[1*4*5|3],[2|1]~>[1*2|3]~>[1*4*5|3],{(+1)(*3)}~{(+4  5)}~,40.2,2,3,0,1
2|1,2*4*5|3,2,0,1,[2|1]~~{(*3)}~~>[2|3]~~{(+4  5)}~~>[2*4*5|3],[2|1]~>[2|3]~>[2*4*5|3],{(*3)}~{(+4  5)}~,30.200000000000003,2,2,0,1
2|1,3*4*5|3,3,1,1,[2|1]~~{(+3  4  5)(*3)}~~>[3*4*5|3],[2|1]~>[3*4*5|3],{(+3  4  5)(*3)}~,40.1,1,3,0,1
1*2|1,|1,,,,N/A,N/A,N/A,,,,,
1*2|1,1|1,0,1,0,[1*2|1]~~{(-2)}~~>[1|1],[1*2|1]~>[1|1],{(-2)}~,1.1,1,0,1,0
1*2|1,2|1,0,1,0,[1*2|1]~~{(+4)}~~>[1*2*4|1]~~{(-1  4)}~~>[2|1],[1*2|1]~>[1*2*4|1]~>[2|1],{(+4)}~{(-1  4)}~,12.2,2,1,2,0
1*2|1,3|1,1,2,0,[1*2|1]~~{(+4)}~~>[1*2*4|1]~~{(+3)(-1  2  4)}~~>[3|1],[1*2|1]~>[1*2*4|1]~>[3|1],{(+4)}~{(+3)(-1  2  4)}~,23.2,2,2,3,0
1*2|1,1*3|1,1,1,0,[1*2|1]~~{(+3)(-2)}~~>[1*3|1],[1*2|1]~>[1*3|1],{(+3)(-2)}~,11.1,1,1,1,0
1*2|1,2*3|1,1,1,0,[1*2|1]~~{(+4)}~~>[1*2*4|1]~~{(+3)(-1  4)}~~>[2*3|1],[1*2|1]~>[1*2*4|1]~>[2*3|1],{(+4)}~{(+3)(-1  4)}~,22.2,2,2,2,0
1*2|1,1*2*3|1,1,0,0,[1*2|1]~~{(+3)}~~>[1*2*3|1],[1*2|1]~>[1*2*3|1],{(+3)}~,10.1,1,1,0,0
1*2|1,4|1,1,2,0,[1*2|1]~~{(+4)}~~>[1*2*4|1]~~{(-1  2)}~~>[4|1],[1*2|1]~>[1*2*4|1]~>[4|1],{(+4)}~{(-1  2)}~,12.2,2,1,2,0
1*2|1,1*4|1,1,1,0,[1*2|1]~~{(+4)(-2)}~~>[1*4|1],[1*2|1]~>[1*4|1],{(+4)(-2)}~,11.1,1,1,1,0
