node,intermediate_visits,in_degree,out_degree
|1,0,0,45
1|1,13,5,31
2|1,2,5,32
1*2|1,10,11,20
3|1,0,5,32
1*3|1,8,11,19
2*3|1,12,11,20
1*2*3|1,7,20,11
4|1,12,5,31
1*4|1,3,12,18
2*4|1,7,11,19
1*2*4|1,6,20,11
3*4|1,2,11,17
1*3*4|1,5,21,9
2*3*4|1,7,20,10
1*2*3*4|1,0,32,5
5|1,4,5,30
1*5|1,5,11,16
2*5|1,9,11,20
1*2*5|1,3,19,11
3*5|1,4,11,16
1*3*5|1,3,20,8
2*3*5|1,5,20,10
1*2*3*5|1,0,30,5
4*5|1,9,11,14
1*4*5|1,1,21,7
2*4*5|1,2,19,10
1*2*4*5|1,0,28,5
3*4*5|1,0,20,6
1*3*4*5|1,0,32,3
2*3*4*5|1,0,29,4
1*2*3*4*5|1,0,37,2
|2,0,0,45
1|2,6,5,31
2|2,1,5,32
1*2|2,6,11,20
3|2,2,5,32
1*3|2,5,11,19
2*3|2,4,11,20
1*2*3|2,5,20,11
4|2,6,5,31
1*4|2,6,12,18
2*4|2,8,11,20
1*2*4|2,69,20,19
3*4|2,4,11,17
1*3*4|2,0,21,9
2*3*4|2,0,20,10
1*2*3*4|2,0,32,5
5|2,10,5,30
1*5|2,57,22,16
2*5|2,4,11,20
3*5|2,2,11,16
1*3*5|2,30,39,8
2*3*5|2,3,20,10
4*5|2,49,22,14
1*4*5|2,7,37,7
3*4*5|2,16,38,6
1*3*4*5|2,4,55,3
|3,0,0,45
1|3,18,5,31
2|3,4,5,32
1*2|3,0,11,20
3|3,0,5,32
1*3|3,0,11,19
2*3|3,2,11,20
1*2*3|3,12,20,11
4|3,2,5,31
1*4|3,3,12,18
2*4|3,3,11,20
1*2*4|3,0,20,11
3*4|3,8,11,17
1*3*4|3,0,21,9
2*3*4|3,0,20,10
1*2*3*4|3,0,32,5
5|3,7,5,30
1*5|3,15,11,16
2*5|3,9,11,20
1*2*5|3,3,19,11
3*5|3,8,11,16
1*3*5|3,1,20,8
2*3*5|3,1,20,10
1*2*3*5|3,0,30,5
4*5|3,4,11,14
1*4*5|3,8,37,7
2*4*5|3,0,19,10
3*4*5|3,133,72,6
