node,intermediate_visits,in_degree,out_degree
|1,0,0,79
1|1,0,56,41
2|1,6,40,80
1*2|1,5,56,43
3|1,0,40,78
1*3|1,0,56,41
2*3|1,0,40,78
1*2*3|1,0,56,43
4|1,0,67,38
1*4|1,10,83,38
2*4|1,5,67,39
1*2*4|1,158,83,82
3*4|1,0,67,37
1*3*4|1,25,83,38
2*3*4|1,1,67,39
1*2*3*4|1,30,83,39
5|1,0,42,78
1*5|1,0,58,40
2*5|1,7,42,82
1*2*5|1,1,58,42
3*5|1,7,42,78
1*3*5|1,1,58,41
2*3*5|1,9,42,80
1*2*3*5|1,5,58,42
4*5|1,0,69,38
1*4*5|1,139,85,80
2*4*5|1,2,69,39
1*2*4*5|1,120,85,82
3*4*5|1,0,69,38
1*3*4*5|1,24,85,38
2*3*4*5|1,7,69,39
1*2*3*4*5|1,26,85,39
|2,0,0,79
1|2,3,56,41
2|2,6,40,81
1*2|2,3,56,42
3|2,0,40,78
1*3|2,0,56,40
2*3|2,0,40,79
1*2*3|2,1,56,42
4|2,0,67,38
1*4|2,94,83,79
2*4|2,19,83,39
1*2*4|2,71,64,82
3*4|2,0,67,38
1*3*4|2,17,83,38
2*3*4|2,1,67,39
1*2*3*4|2,17,83,39
5|2,4,42,78
1*5|2,116,58,78
2*5|2,23,42,82
3*5|2,0,42,38
1*3*5|2,25,58,40
2*3*5|2,2,42,44
4*5|2,15,72,38
1*4*5|2,117,85,79
3*4*5|2,39,69,38
1*3*4*5|2,19,85,38
|3,0,0,79
1|3,0,56,41
2|3,31,42,82
1*2|3,105,58,82
3|3,0,40,78
1*3|3,0,56,41
2*3|3,2,40,80
1*2*3|3,2,57,43
4|3,0,67,38
1*4|3,60,83,78
2*4|3,130,69,82
1*2*4|3,70,85,82
3*4|3,0,67,38
1*3*4|3,11,83,38
2*3*4|3,11,68,39
1*2*3*4|3,9,84,39
5|3,0,42,78
1*5|3,13,58,79
2*5|3,0,18,82
1*2*5|3,10,23,82
3*5|3,3,42,78
1*3*5|3,73,58,78
2*3*5|3,23,42,82
1*2*3*5|3,60,58,82
4*5|3,27,69,79
1*4*5|3,46,85,79
2*4*5|3,21,25,82
3*4*5|3,449,85,79
