node,intermediate_visits,in_degree,out_degree
|1,0,0,79
1|1,0,56,41
2|1,2,40,80
1*2|1,1,56,43
3|1,0,40,78
1*3|1,1,56,41
2*3|1,0,40,78
1*2*3|1,1,56,43
4|1,0,67,38
1*4|1,13,83,38
2*4|1,1,67,39
1*2*4|1,79,83,82
3*4|1,0,67,37
1*3*4|1,15,83,38
2*3*4|1,1,67,39
1*2*3*4|1,13,83,39
5|1,0,42,78
1*5|1,0,58,40
2*5|1,4,42,82
1*2*5|1,3,58,42
3*5|1,13,42,78
1*3*5|1,1,58,41
2*3*5|1,14,42,80
1*2*3*5|1,5,58,42
4*5|1,0,69,38
1*4*5|1,42,85,80
2*4*5|1,5,69,39
1*2*4*5|1,40,85,82
3*4*5|1,0,69,38
1*3*4*5|1,0,85,38
2*3*4*5|1,6,69,39
1*2*3*4*5|1,9,85,39
|2,0,0,79
1|2,4,56,41
2|2,4,40,81
1*2|2,1,56,42
3|2,0,40,78
1*3|2,0,56,40
2*3|2,2,40,79
1*2*3|2,1,56,42
4|2,0,67,38
1*4|2,100,83,79
2*4|2,20,83,39
1*2*4|2,56,64,82
3*4|2,0,67,38
1*3*4|2,16,83,38
2*3*4|2,1,67,39
1*2*3*4|2,12,83,39
5|2,3,42,78
1*5|2,90,58,78
2*5|2,14,42,82
3*5|2,0,42,38
1*3*5|2,8,58,40
2*3*5|2,3,42,44
4*5|2,0,72,38
1*4*5|2,46,85,79
3*4*5|2,16,69,38
1*3*4*5|2,0,85,38
|3,0,0,79
1|3,0,56,41
2|3,33,42,82
1*2|3,153,58,82
3|3,0,40,78
1*3|3,0,56,41
2*3|3,6,40,80
1*2*3|3,2,57,43
4|3,0,67,38
1*4|3,85,83,78
2*4|3,187,69,82
1*2*4|3,52,85,82
3*4|3,0,67,38
1*3*4|3,11,83,38
2*3*4|3,4,68,39
1*2*3*4|3,10,84,39
5|3,0,42,78
1*5|3,19,58,79
2*5|3,0,18,82
1*2*5|3,22,23,82
3*5|3,10,42,78
1*3*5|3,85,58,78
2*3*5|3,24,42,82
1*2*3*5|3,44,58,82
4*5|3,56,69,79
1*4*5|3,8,85,79
2*4*5|3,36,25,82
3*4*5|3,595,85,79
