node,intermediate_visits,in_degree,out_degree
|1,0,0,44
1|1,18,49,31
2|1,6,33,58
1*2|1,29,55,38
3|1,3,30,61
1*3|1,12,54,39
2*3|1,15,36,71
1*2*3|1,19,49,42
4|1,23,54,30
1*4|1,24,77,36
2*4|1,16,62,36
1*2*4|1,138,72,73
3*4|1,4,63,35
1*3*4|1,41,71,38
2*3*4|1,10,59,38
1*2*3*4|1,22,54,34
5|1,15,37,57
1*5|1,10,58,36
2*5|1,24,42,73
1*2*5|1,12,52,42
3*5|1,16,38,71
1*3*5|1,9,51,39
2*3*5|1,10,37,71
1*2*3*5|1,3,39,36
4*5|1,8,64,34
1*4*5|1,89,73,72
2*4*5|1,12,63,39
1*2*4*5|1,56,55,56
3*4*5|1,7,62,37
1*3*4*5|1,8,55,34
2*3*4*5|1,6,48,34
1*2*3*4*5|1,3,37,28
|2,0,0,44
1|2,8,49,31
2|2,10,33,59
1*2|2,12,55,38
3|2,4,30,61
1*3|2,8,54,38
2*3|2,8,36,72
1*2*3|2,5,49,42
4|2,15,54,30
1*4|2,131,77,72
2*4|2,28,82,36
1*2*4|2,77,58,73
3*4|2,2,63,36
1*3*4|2,24,71,38
2*3*4|2,6,59,39
1*2*3*4|2,11,54,34
5|2,18,37,57
1*5|2,111,58,70
2*5|2,27,42,73
3*5|2,0,38,35
1*3*5|2,19,51,40
2*3*5|2,9,37,43
4*5|2,31,69,34
1*4*5|2,102,73,71
3*4*5|2,45,62,37
1*3*4*5|2,11,55,33
|3,0,0,44
1|3,16,49,30
2|3,42,42,60
1*2|3,140,58,75
3|3,1,30,61
1*3|3,3,54,38
2*3|3,6,36,73
1*2*3|3,6,50,42
4|3,11,54,30
1*4|3,54,79,71
2*4|3,166,69,74
1*2*4|3,89,73,73
3*4|3,9,63,36
1*3*4|3,22,71,38
2*3*4|3,15,60,39
1*2*3*4|3,6,54,34
5|3,9,37,57
1*5|3,47,58,71
2*5|3,7,18,73
1*2*5|3,38,23,73
3*5|3,11,38,70
1*3*5|3,97,51,72
2*3*5|3,20,37,73
1*2*3*5|3,43,37,59
4*5|3,74,64,70
1*4*5|3,55,72,71
2*4*5|3,41,25,73
3*4*5|3,536,73,71
