node,intermediate_visits,in_degree,out_degree
|1,0,0,44
1|1,15,49,31
2|1,9,33,58
1*2|1,29,55,38
3|1,0,30,61
1*3|1,13,54,39
2*3|1,3,36,71
1*2*3|1,24,49,42
4|1,8,54,30
1*4|1,20,77,36
2*4|1,1,62,36
1*2*4|1,201,72,73
3*4|1,0,63,35
1*3*4|1,28,71,38
2*3*4|1,4,59,38
1*2*3*4|1,21,54,34
5|1,2,37,57
1*5|1,15,58,36
2*5|1,19,42,73
1*2*5|1,11,52,42
3*5|1,2,38,71
1*3*5|1,13,51,39
2*3*5|1,6,37,71
1*2*3*5|1,4,39,36
4*5|1,4,64,34
1*4*5|1,135,73,72
2*4*5|1,2,63,39
1*2*4*5|1,61,55,56
3*4*5|1,2,62,37
1*3*4*5|1,12,55,34
2*3*4*5|1,6,48,34
1*2*3*4*5|1,10,37,28
|2,0,0,44
1|2,16,49,31
2|2,5,33,59
1*2|2,22,55,38
3|2,0,30,61
1*3|2,16,54,38
2*3|2,6,36,72
1*2*3|2,17,49,42
4|2,0,54,30
1*4|2,131,77,72
2*4|2,61,82,36
1*2*4|2,76,58,73
3*4|2,0,63,36
1*3*4|2,17,71,38
2*3*4|2,3,59,39
1*2*3*4|2,6,54,34
5|2,12,37,57
1*5|2,129,58,70
2*5|2,26,42,73
3*5|2,0,38,35
1*3*5|2,46,51,40
2*3*5|2,7,37,43
4*5|2,5,69,34
1*4*5|2,114,73,71
3*4*5|2,31,62,37
1*3*4*5|2,15,55,33
|3,0,0,44
1|3,16,49,30
2|3,24,42,60
1*2|3,115,58,75
3|3,0,30,61
1*3|3,13,54,38
2*3|3,2,36,73
1*2*3|3,16,50,42
4|3,0,54,30
1*4|3,76,79,71
2*4|3,135,69,74
1*2*4|3,53,73,73
3*4|3,6,63,36
1*3*4|3,11,71,38
2*3*4|3,8,60,39
1*2*3*4|3,9,54,34
5|3,3,37,57
1*5|3,25,58,71
2*5|3,0,18,73
1*2*5|3,8,23,73
3*5|3,6,38,70
1*3*5|3,71,51,72
2*3*5|3,9,37,73
1*2*3*5|3,38,37,59
4*5|3,53,64,70
1*4*5|3,43,72,71
2*4*5|3,9,25,73
3*4*5|3,537,73,71
