node,intermediate_visits,in_degree,out_degree
|1,0,0,44
1|1,15,49,31
2|1,20,33,58
1*2|1,28,55,38
3|1,0,30,61
1*3|1,14,54,39
2*3|1,6,36,71
1*2*3|1,23,49,42
4|1,8,54,30
1*4|1,22,77,36
2*4|1,1,62,36
1*2*4|1,263,72,73
3*4|1,0,63,35
1*3*4|1,29,71,38
2*3*4|1,6,59,38
1*2*3*4|1,24,54,34
5|1,12,37,57
1*5|1,16,58,36
2*5|1,23,42,73
1*2*5|1,13,52,42
3*5|1,2,38,71
1*3*5|1,5,51,39
2*3*5|1,8,37,71
1*2*3*5|1,1,39,36
4*5|1,4,64,34
1*4*5|1,190,73,72
2*4*5|1,6,63,39
1*2*4*5|1,80,55,56
3*4*5|1,8,62,37
1*3*4*5|1,11,55,34
2*3*4*5|1,2,48,34
1*2*3*4*5|1,10,37,28
|2,0,0,44
1|2,19,49,31
2|2,9,33,59
1*2|2,22,55,38
3|2,0,30,61
1*3|2,16,54,38
2*3|2,6,36,72
1*2*3|2,14,49,42
4|2,0,54,30
1*4|2,179,77,72
2*4|2,19,82,36
1*2*4|2,114,58,73
3*4|2,0,63,36
1*3*4|2,16,71,38
2*3*4|2,2,59,39
1*2*3*4|2,13,54,34
5|2,25,37,57
1*5|2,154,58,70
2*5|2,26,42,73
3*5|2,0,38,35
1*3*5|2,31,51,40
2*3*5|2,6,37,43
4*5|2,9,69,34
1*4*5|2,157,73,71
3*4*5|2,31,62,37
1*3*4*5|2,12,55,33
|3,0,0,44
1|3,16,49,30
2|3,34,42,60
1*2|3,122,58,75
3|3,0,30,61
1*3|3,13,54,38
2*3|3,4,36,73
1*2*3|3,14,50,42
4|3,0,54,30
1*4|3,75,79,71
2*4|3,99,69,74
1*2*4|3,66,73,73
3*4|3,6,63,36
1*3*4|3,13,71,38
2*3*4|3,4,60,39
1*2*3*4|3,8,54,34
5|3,3,37,57
1*5|3,27,58,71
2*5|3,0,18,73
1*2*5|3,22,23,73
3*5|3,6,38,70
1*3*5|3,50,51,72
2*3*5|3,13,37,73
1*2*3*5|3,21,37,59
4*5|3,33,64,70
1*4*5|3,44,72,71
2*4*5|3,8,25,73
3*4*5|3,322,73,71
