node,intermediate_visits,in_degree,out_degree
|1,0,0,79
1|1,0,56,41
2|1,2,40,80
1*2|1,4,56,43
3|1,0,40,78
1*3|1,0,56,41
2*3|1,0,40,78
1*2*3|1,1,56,43
4|1,0,67,38
1*4|1,11,83,38
2*4|1,5,67,39
1*2*4|1,83,83,82
3*4|1,0,67,37
1*3*4|1,11,83,38
2*3*4|1,1,67,39
1*2*3*4|1,20,83,39
5|1,1,42,78
1*5|1,1,58,40
2*5|1,18,42,82
1*2*5|1,5,58,42
3*5|1,9,42,78
1*3*5|1,44,58,41
2*3*5|1,21,42,80
1*2*3*5|1,3,58,42
4*5|1,1,69,38
1*4*5|1,44,85,80
2*4*5|1,5,69,39
1*2*4*5|1,39,85,82
3*4*5|1,2,69,38
1*3*4*5|1,1,85,38
2*3*4*5|1,8,69,39
1*2*3*4*5|1,2,85,39
|2,0,0,79
1|2,3,56,41
2|2,5,40,81
1*2|2,1,56,42
3|2,0,40,78
1*3|2,6,56,40
2*3|2,4,40,79
1*2*3|2,1,56,42
4|2,0,67,38
1*4|2,78,83,79
2*4|2,102,83,39
1*2*4|2,52,64,82
3*4|2,1,67,38
1*3*4|2,12,83,38
2*3*4|2,3,67,39
1*2*3*4|2,10,83,39
5|2,3,42,78
1*5|2,205,58,78
2*5|2,16,42,82
3*5|2,0,42,38
1*3*5|2,119,58,40
2*3*5|2,2,42,44
4*5|2,92,72,38
1*4*5|2,80,85,79
3*4*5|2,65,69,38
1*3*4*5|2,24,85,38
|3,0,0,79
1|3,0,56,41
2|3,104,42,82
1*2|3,193,58,82
3|3,0,40,78
1*3|3,0,56,41
2*3|3,3,40,80
1*2*3|3,39,57,43
4|3,0,67,38
1*4|3,114,83,78
2*4|3,241,69,82
1*2*4|3,111,85,82
3*4|3,1,67,38
1*3*4|3,10,83,38
2*3*4|3,70,68,39
1*2*3*4|3,19,84,39
5|3,1,42,78
1*5|3,17,58,79
2*5|3,2,18,82
1*2*5|3,19,23,82
3*5|3,8,42,78
1*3*5|3,106,58,78
2*3*5|3,26,42,82
1*2*3*5|3,35,58,82
4*5|3,71,69,79
1*4*5|3,93,85,79
2*4*5|3,40,25,82
3*4*5|3,911,85,79
