node,intermediate_visits,in_degree,out_degree
|1,0,0,79
1|1,0,56,41
2|1,1,40,80
1*2|1,5,56,43
3|1,0,40,78
1*3|1,0,56,41
2*3|1,0,40,78
1*2*3|1,3,56,43
4|1,0,67,38
1*4|1,6,83,38
2*4|1,4,67,39
1*2*4|1,62,83,82
3*4|1,0,67,37
1*3*4|1,5,83,38
2*3*4|1,820,67,39
1*2*3*4|1,2,83,39
5|1,0,42,78
1*5|1,0,58,40
2*5|1,3,42,82
1*2*5|1,2,58,42
3*5|1,4,42,78
1*3*5|1,5,58,41
2*3*5|1,104,42,80
1*2*3*5|1,5,58,42
4*5|1,0,69,38
1*4*5|1,320,85,80
2*4*5|1,2,69,39
1*2*4*5|1,19,85,82
3*4*5|1,9,69,38
1*3*4*5|1,8,85,38
2*3*4*5|1,5,69,39
1*2*3*4*5|1,3,85,39
|2,0,0,79
1|2,1,56,41
2|2,1,40,81
1*2|2,1,56,42
3|2,0,40,78
1*3|2,0,56,40
2*3|2,0,40,79
1*2*3|2,3,56,42
4|2,0,67,38
1*4|2,41,83,79
2*4|2,1045,83,39
1*2*4|2,61,64,82
3*4|2,0,67,38
1*3*4|2,4,83,38
2*3*4|2,0,67,39
1*2*3*4|2,1,83,39
5|2,0,42,78
1*5|2,153,58,78
2*5|2,7,42,82
3*5|2,0,42,38
1*3*5|2,88,58,40
2*3*5|2,7,42,44
4*5|2,475,72,38
1*4*5|2,131,85,79
3*4*5|2,56,69,38
1*3*4*5|2,30,85,38
|3,0,0,79
1|3,0,56,41
2|3,126,42,82
1*2|3,180,58,82
3|3,0,40,78
1*3|3,0,56,41
2*3|3,93,40,80
1*2*3|3,83,57,43
4|3,0,67,38
1*4|3,339,83,78
2*4|3,430,69,82
1*2*4|3,80,85,82
3*4|3,0,67,38
1*3*4|3,4,83,38
2*3*4|3,620,68,39
1*2*3*4|3,29,84,39
5|3,0,42,78
1*5|3,13,58,79
2*5|3,0,18,82
1*2*5|3,5,23,82
3*5|3,1,42,78
1*3*5|3,104,58,78
2*3*5|3,37,42,82
1*2*3*5|3,37,58,82
4*5|3,156,69,79
1*4*5|3,78,85,79
2*4*5|3,12,25,82
3*4*5|3,1276,85,79
