node,intermediate_visits,in_degree,out_degree
|1,0,0,79
1|1,1,56,41
2|1,5,40,80
1*2|1,10,56,43
3|1,0,40,78
1*3|1,0,56,41
2*3|1,0,40,78
1*2*3|1,1,56,43
4|1,2,67,38
1*4|1,27,83,38
2*4|1,10,67,39
1*2*4|1,153,83,82
3*4|1,0,67,37
1*3*4|1,17,83,38
2*3*4|1,32,67,39
1*2*3*4|1,9,83,39
5|1,0,42,78
1*5|1,1,58,40
2*5|1,10,42,82
1*2*5|1,6,58,42
3*5|1,8,42,78
1*3*5|1,6,58,41
2*3*5|1,9,42,80
1*2*3*5|1,5,58,42
4*5|1,1,69,38
1*4*5|1,134,85,80
2*4*5|1,5,69,39
1*2*4*5|1,65,85,82
3*4*5|1,6,69,38
1*3*4*5|1,10,85,38
2*3*4*5|1,2,69,39
1*2*3*4*5|1,7,85,39
|2,0,0,79
1|2,1,56,41
2|2,6,40,81
1*2|2,4,56,42
3|2,0,40,78
1*3|2,0,56,40
2*3|2,1,40,79
1*2*3|2,2,56,42
4|2,0,67,38
1*4|2,104,83,79
2*4|2,187,83,39
1*2*4|2,78,64,82
3*4|2,0,67,38
1*3*4|2,14,83,38
2*3*4|2,1,67,39
1*2*3*4|2,8,83,39
5|2,10,42,78
1*5|2,160,58,78
2*5|2,26,42,82
3*5|2,0,42,38
1*3*5|2,47,58,40
2*3*5|2,3,42,44
4*5|2,121,72,38
1*4*5|2,105,85,79
3*4*5|2,34,69,38
1*3*4*5|2,19,85,38
|3,0,0,79
1|3,1,56,41
2|3,110,42,82
1*2|3,138,58,82
3|3,0,40,78
1*3|3,0,56,41
2*3|3,3,40,80
1*2*3|3,33,57,43
4|3,0,67,38
1*4|3,76,83,78
2*4|3,211,69,82
1*2*4|3,36,85,82
3*4|3,0,67,38
1*3*4|3,5,83,38
2*3*4|3,54,68,39
1*2*3*4|3,8,84,39
5|3,0,42,78
1*5|3,17,58,79
2*5|3,0,18,82
1*2*5|3,7,23,82
3*5|3,5,42,78
1*3*5|3,89,58,78
2*3*5|3,24,42,82
1*2*3*5|3,31,58,82
4*5|3,49,69,79
1*4*5|3,95,85,79
2*4*5|3,14,25,82
3*4*5|3,779,85,79
