s,f,a,add,del,temp,a_str,start,final
1,2,123,1,0,0,(+1),|1,1|1
1,3,125,1,0,0,(+2),|1,2|1
1,4,126,2,0,0,(+1  2),|1,1*2|1
1,5,131,1,0,0,(+3),|1,3|1
1,6,132,2,0,0,(+1  3),|1,1*3|1
1,7,134,2,0,0,(+2  3),|1,2*3|1
1,8,135,3,0,0,(+1  2  3),|1,1*2*3|1
1,9,149,1,0,0,(+4),|1,4|1
1,10,150,2,0,0,(+1  4),|1,1*4|1
1,11,152,2,0,0,(+2  4),|1,2*4|1
1,12,153,3,0,0,(+1  2  4),|1,1*2*4|1
1,13,158,2,0,0,(+3  4),|1,3*4|1
1,14,159,3,0,0,(+1  3  4),|1,1*3*4|1
1,15,161,3,0,0,(+2  3  4),|1,2*3*4|1
1,16,162,4,0,0,(+1  2  3  4),|1,1*2*3*4|1
1,17,203,1,0,0,(+5),|1,5|1
1,18,204,2,0,0,(+1  5),|1,1*5|1
1,19,206,2,0,0,(+2  5),|1,2*5|1
1,20,207,3,0,0,(+1  2  5),|1,1*2*5|1
1,21,212,2,0,0,(+3  5),|1,3*5|1
1,22,213,3,0,0,(+1  3  5),|1,1*3*5|1
1,23,215,3,0,0,(+2  3  5),|1,2*3*5|1
1,24,216,4,0,0,(+1  2  3  5),|1,1*2*3*5|1
1,25,230,2,0,0,(+4  5),|1,4*5|1
1,26,231,3,0,0,(+1  4  5),|1,1*4*5|1
1,27,233,3,0,0,(+2  4  5),|1,2*4*5|1
1,28,234,4,0,0,(+1  2  4  5),|1,1*2*4*5|1
1,29,239,3,0,0,(+3  4  5),|1,3*4*5|1
1,30,240,4,0,0,(+1  3  4  5),|1,1*3*4*5|1
1,31,242,4,0,0,(+2  3  4  5),|1,2*3*4*5|1
1,32,243,5,0,0,(+1  2  3  4  5),|1,1*2*3*4*5|1
1,34,366,1,0,1,(+1)(*2),|1,1|2
1,35,368,1,0,1,(+2)(*2),|1,2|2
1,36,369,2,0,1,(+1  2)(*2),|1,1*2|2
1,37,374,1,0,1,(+3)(*2),|1,3|2
1,38,375,2,0,1,(+1  3)(*2),|1,1*3|2
1,39,377,2,0,1,(+2  3)(*2),|1,2*3|2
1,40,378,3,0,1,(+1  2  3)(*2),|1,1*2*3|2
1,41,392,1,0,1,(+4)(*2),|1,4|2
1,42,393,2,0,1,(+1  4)(*2),|1,1*4|2
1,43,395,2,0,1,(+2  4)(*2),|1,2*4|2
1,45,401,2,0,1,(+3  4)(*2),|1,3*4|2
1,46,402,3,0,1,(+1  3  4)(*2),|1,1*3*4|2
1,47,404,3,0,1,(+2  3  4)(*2),|1,2*3*4|2
1,48,405,4,0,1,(+1  2  3  4)(*2),|1,1*2*3*4|2
1,49,446,1,0,1,(+5)(*2),|1,5|2
1,50,447,2,0,1,(+1  5)(*2),|1,1*5|2
1,51,449,2,0,1,(+2  5)(*2),|1,2*5|2
1,53,455,2,0,1,(+3  5)(*2),|1,3*5|2
1,54,456,3,0,1,(+1  3  5)(*2),|1,1*3*5|2
1,55,458,3,0,1,(+2  3  5)(*2),|1,2*3*5|2
1,57,473,2,0,1,(+4  5)(*2),|1,4*5|2
1,58,474,3,0,1,(+1  4  5)(*2),|1,1*4*5|2
1,61,482,3,0,1,(+3  4  5)(*2),|1,3*4*5|2
1,62,483,4,0,1,(+1  3  4  5)(*2),|1,1*3*4*5|2
1,66,609,1,0,1,(+1)(*3),|1,1|3
1,67,611,1,0,1,(+2)(*3),|1,2|3
1,68,612,2,0,1,(+1  2)(*3),|1,1*2|3
1,69,617,1,0,1,(+3)(*3),|1,3|3
1,70,618,2,0,1,(+1  3)(*3),|1,1*3|3
1,71,620,2,0,1,(+2  3)(*3),|1,2*3|3
1,72,621,3,0,1,(+1  2  3)(*3),|1,1*2*3|3
1,73,635,1,0,1,(+4)(*3),|1,4|3
1,74,636,2,0,1,(+1  4)(*3),|1,1*4|3
1,75,638,2,0,1,(+2  4)(*3),|1,2*4|3
1,76,639,3,0,1,(+1  2  4)(*3),|1,1*2*4|3
1,77,644,2,0,1,(+3  4)(*3),|1,3*4|3
1,78,645,3,0,1,(+1  3  4)(*3),|1,1*3*4|3
1,79,647,3,0,1,(+2  3  4)(*3),|1,2*3*4|3
1,80,648,4,0,1,(+1  2  3  4)(*3),|1,1*2*3*4|3
1,81,689,1,0,1,(+5)(*3),|1,5|3
1,82,690,2,0,1,(+1  5)(*3),|1,1*5|3
1,85,698,2,0,1,(+3  5)(*3),|1,3*5|3
1,86,699,3,0,1,(+1  3  5)(*3),|1,1*3*5|3
1,87,701,3,0,1,(+2  3  5)(*3),|1,2*3*5|3
1,88,702,4,0,1,(+1  2  3  5)(*3),|1,1*2*3*5|3
