node,intermediate_visits,in_degree,out_degree
|1,0,0,45
1|1,12,5,31
2|1,1,5,31
1*2|1,17,11,20
3|1,0,5,32
1*3|1,5,11,19
2*3|1,4,11,20
1*2*3|1,17,20,11
4|1,10,5,31
1*4|1,4,11,18
2*4|1,2,11,18
1*2*4|1,8,20,11
3*4|1,2,11,17
1*3*4|1,4,20,9
2*3*4|1,2,20,10
1*2*3*4|1,3,32,5
5|1,0,5,30
1*5|1,4,11,16
2*5|1,4,11,20
1*2*5|1,4,19,11
3*5|1,4,11,16
1*3*5|1,2,20,8
2*3*5|1,3,20,10
1*2*3*5|1,1,30,5
4*5|1,10,11,14
1*4*5|1,1,20,7
2*4*5|1,2,19,10
1*2*4*5|1,0,28,5
3*4*5|1,1,20,6
1*3*4*5|1,0,31,3
2*3*4*5|1,0,29,4
1*2*3*4*5|1,0,37,2
|2,0,0,45
1|2,6,5,31
2|2,1,5,32
1*2|2,4,11,20
3|2,1,5,32
1*3|2,4,11,19
2*3|2,2,11,20
1*2*3|2,17,20,11
4|2,3,5,31
1*4|2,4,11,18
2*4|2,8,11,20
1*2*4|2,6,20,11
3*4|2,2,11,17
1*3*4|2,0,20,9
2*3*4|2,0,20,10
1*2*3*4|2,0,32,5
5|2,6,5,30
1*5|2,53,22,16
2*5|2,10,11,20
3*5|2,3,11,16
1*3*5|2,32,39,8
2*3*5|2,1,20,10
4*5|2,46,22,14
1*4*5|2,9,37,7
3*4*5|2,11,38,6
1*3*4*5|2,4,55,3
|3,0,0,45
1|3,13,5,31
2|3,3,5,32
1*2|3,0,11,20
3|3,0,5,32
1*3|3,0,11,19
2*3|3,2,11,20
1*2*3|3,12,20,11
4|3,0,5,31
1*4|3,1,11,18
2*4|3,3,11,20
1*2*4|3,0,20,11
3*4|3,4,11,17
1*3*4|3,2,20,9
2*3*4|3,3,20,10
1*2*3*4|3,3,32,5
5|3,1,5,30
1*5|3,13,11,16
2*5|3,5,10,20
1*2*5|3,9,19,11
3*5|3,5,11,16
1*3*5|3,4,20,8
2*3*5|3,4,20,10
1*2*3*5|3,4,30,5
4*5|3,4,11,14
1*4*5|3,19,36,7
2*4*5|3,1,19,10
3*4*5|3,143,72,6
