start,goal,net_add,net_del,net_temp,full_path,path,action,a_star_cost,a_star_ops,a_star_add,a_star_del,a_star_temp
2*8*10*11|1,1*3*7|1,3,4,0,[2*8*10*11|1]~~{(+7)}~~>[2*7*10|1]~~{(+1  3)}~~>[1*3*7|1],[2*8*10*11|1]~>[2*7*10|1]~>[1*3*7|1],{(+7)}~{(+1  3)}~,23.0,2,3,0,0
2*8*10*11|1,1*6*7|1,,,,N/A,N/A,N/A,,,,,
2*8*10*11|1,4*8|1,,,,N/A,N/A,N/A,,,,,
2*8*10*11|1,5*8|1,,,,N/A,N/A,N/A,,,,,
2*8*10*11|1,6*8|1,,,,N/A,N/A,N/A,,,,,
2*8*10*11|1,2*6*8|1,1,2,0,[2*8*10*11|1]~~{(+12)}~~>[2*12|1]~~{(+6  8)}~~>[2*6*8|1],[2*8*10*11|1]~>[2*12|1]~>[2*6*8|1],{(+12)}~{(+6  8)}~,23.0,2,3,0,0
2*8*10*11|1,4*6*8|1,2,3,0,[2*8*10*11|1]~~{(+4  12)}~~>[4*12|1]~~{(+6  8)}~~>[4*6*8|1],[2*8*10*11|1]~>[4*12|1]~>[4*6*8|1],{(+4  12)}~{(+6  8)}~,24.0,2,4,0,0
2*8*10*11|1,3*4*6*8|1,3,3,0,[2*8*10*11|1]~~{(+3)}~~>[3*8|1]~~{(+4  6)}~~>[3*4*6*8|1],[2*8*10*11|1]~>[3*8|1]~>[3*4*6*8|1],{(+3)}~{(+4  6)}~,23.0,2,3,0,0
2*8*10*11|1,1*2*9|1,2,3,0,[2*8*10*11|1]~~{(+1  9)}~~>[1*2*9|1],[2*8*10*11|1]~>[1*2*9|1],{(+1  9)}~,12.0,1,2,0,0
2*8*10*11|1,3*9|1,2,4,0,[2*8*10*11|1]~~{(+3  9)}~~>[3*9|1],[2*8*10*11|1]~>[3*9|1],{(+3  9)}~,12.0,1,2,0,0
2*8*10*11|1,3*5*9|1,3,4,0,[2*8*10*11|1]~~{(+9)}~~>[2*8*9*10|1]~~{(+3  5)}~~>[3*5*9|1],[2*8*10*11|1]~>[2*8*9*10|1]~>[3*5*9|1],{(+9)}~{(+3  5)}~,23.0,2,3,0,0
2*8*10*11|1,6*9|1,,,,N/A,N/A,N/A,,,,,
2*8*10*11|1,2*7*9|1,2,3,0,[2*8*10*11|1]~~{(+7)}~~>[2*7*10|1]~~{(+9)(-10)}~~>[2*7*9|1],[2*8*10*11|1]~>[2*7*10|1]~>[2*7*9|1],{(+7)}~{(+9)(-10)}~,22.1,2,2,1,0
2*8*10*11|1,1*2*7*9|1,3,3,0,[2*8*10*11|1]~~{(+7)}~~>[2*7*10|1]~~{(+1  9)}~~>[1*2*7*9|1],[2*8*10*11|1]~>[2*7*10|1]~>[1*2*7*9|1],{(+7)}~{(+1  9)}~,23.0,2,3,0,0
2*8*10*11|1,4*5*7*9|1,4,4,0,[2*8*10*11|1]~~{(+4  7)}~~>[4*7|1]~~{(+5  9)}~~>[4*5*7*9|1],[2*8*10*11|1]~>[4*7|1]~>[4*5*7*9|1],{(+4  7)}~{(+5  9)}~,24.0,2,4,0,0
2*8*10*11|1,1*4*5*7*9|1,5,4,0,[2*8*10*11|1]~~{(+9)}~~>[2*8*9*10|1]~~{(+1  4)}~~>[1*4*9|1]~~{(+5  7)}~~>[1*4*5*7*9|1],[2*8*10*11|1]~>[2*8*9*10|1]~>[1*4*9|1]~>[1*4*5*7*9|1],{(+9)}~{(+1  4)}~{(+5  7)}~,35.0,3,5,0,0
2*8*10*11|1,2*5*10|1,,,,N/A,N/A,N/A,,,,,
2*8*10*11|1,4*6*10|1,,,,N/A,N/A,N/A,,,,,
2*8*10*11|1,4*5*6*10|1,,,,N/A,N/A,N/A,,,,,
2*8*10*11|1,8*10|1,,,,N/A,N/A,N/A,,,,,
2*8*10*11|1,2*8*10|1,0,1,0,[2*8*10*11|1]~~{(-11)}~~>[2*8*10|1],[2*8*10*11|1]~>[2*8*10|1],{(-11)}~,10.1,1,0,1,0
2*8*10*11|1,5*8*10|1,,,,N/A,N/A,N/A,,,,,
2*8*10*11|1,2*5*8*10|1,1,1,0,[2*8*10*11|1]~~{(+5)}~~>[2*5*8*10|1],[2*8*10*11|1]~>[2*5*8*10|1],{(+5)}~,11.0,1,1,0,0
2*8*10*11|1,6*8*10|1,,,,N/A,N/A,N/A,,,,,
2*8*10*11|1,4*6*8*10|1,2,2,0,[2*8*10*11|1]~~{(+4  6)}~~>[4*6*8*10|1],[2*8*10*11|1]~>[4*6*8*10|1],{(+4  6)}~,12.0,1,2,0,0
2*8*10*11|1,4*5*6*8*10|1,3,2,0,[2*8*10*11|1]~~{(+6)}~~>[2*6*8*10|1]~~{(+4  5)}~~>[4*5*6*8*10|1],[2*8*10*11|1]~>[2*6*8*10|1]~>[4*5*6*8*10|1],{(+6)}~{(+4  5)}~,23.0,2,3,0,0
2*8*10*11|1,3*4*5*6*8*10|1,4,2,0,[2*8*10*11|1]~~{(+4  6)}~~>[4*6*8*10|1]~~{(+3  5)}~~>[3*4*5*6*8*10|1],[2*8*10*11|1]~>[4*6*8*10|1]~>[3*4*5*6*8*10|1],{(+4  6)}~{(+3  5)}~,24.0,2,4,0,0
2*8*10*11|1,4*9*10|1,2,3,0,[2*8*10*11|1]~~{(+4  9)}~~>[4*9*10|1],[2*8*10*11|1]~>[4*9*10|1],{(+4  9)}~,12.0,1,2,0,0
2*8*10*11|1,5*9*10|1,,,,N/A,N/A,N/A,,,,,
2*8*10*11|1,2*7*9*10|1,2,2,0,[2*8*10*11|1]~~{(+7  9)}~~>[2*7*9*10|1],[2*8*10*11|1]~>[2*7*9*10|1],{(+7  9)}~,12.0,1,2,0,0
2*8*10*11|1,8*9*10|1,,,,N/A,N/A,N/A,,,,,
2*8*10*11|1,11|1,,,,N/A,N/A,N/A,,,,,
2*8*10*11|1,1*2*11|1,1,2,0,[2*8*10*11|1]~~{(+1)}~~>[1*2*11|1],[2*8*10*11|1]~>[1*2*11|1],{(+1)}~,11.0,1,1,0,0
2*8*10*11|1,7*9*11|1,,,,N/A,N/A,N/A,,,,,
2*8*10*11|1,2*8*9*11|1,1,1,0,[2*8*10*11|1]~~{(+12)}~~>[2*12|1]~~{(+9)}~~>[2*9|1]~~{(+8  11)}~~>[2*8*9*11|1],[2*8*10*11|1]~>[2*12|1]~>[2*9|1]~>[2*8*9*11|1],{(+12)}~{(+9)}~{(+8  11)}~,34.0,3,4,0,0
2*8*10*11|1,6*9*10*11|1,,,,N/A,N/A,N/A,,,,,
2*8*10*11|1,8*9*10*11|1,,,,N/A,N/A,N/A,,,,,
2*8*10*11|1,6*8*9*10*11|1,,,,N/A,N/A,N/A,,,,,
2*8*10*11|1,1*2*12|1,2,3,0,[2*8*10*11|1]~~{(+1  12)}~~>[1*2*12|1],[2*8*10*11|1]~>[1*2*12|1],{(+1  12)}~,12.0,1,2,0,0
2*8*10*11|1,1*4*12|1,3,4,0,[2*8*10*11|1]~~{(+12)}~~>[2*12|1]~~{(+1  4)}~~>[1*4*12|1],[2*8*10*11|1]~>[2*12|1]~>[1*4*12|1],{(+12)}~{(+1  4)}~,23.0,2,3,0,0
2*8*10*11|1,4*5*12|1,3,4,0,[2*8*10*11|1]~~{(+12)}~~>[2*12|1]~~{(+4  5)}~~>[4*5*12|1],[2*8*10*11|1]~>[2*12|1]~>[4*5*12|1],{(+12)}~{(+4  5)}~,23.0,2,3,0,0
2*8*10*11|1,1*3*4*5*12|1,5,4,0,[2*8*10*11|1]~~{(+4)}~~>[4*8*10|1]~~{(+3  5)}~~>[3*4*5*8*10|1]~~{(+1  12)}~~>[1*3*4*5*12|1],[2*8*10*11|1]~>[4*8*10|1]~>[3*4*5*8*10|1]~>[1*3*4*5*12|1],{(+4)}~{(+3  5)}~{(+1  12)}~,35.0,3,5,0,0
2*8*10*11|1,3*6*12|1,3,4,0,[2*8*10*11|1]~~{(+12)}~~>[2*12|1]~~{(+3  6)}~~>[3*6*12|1],[2*8*10*11|1]~>[2*12|1]~>[3*6*12|1],{(+12)}~{(+3  6)}~,23.0,2,3,0,0
