node,intermediate_visits,in_degree,out_degree
|1,0,0,201
1|1,0,3,53
2|1,0,2,137
1*2|1,0,10,40
3|1,40,12,64
1*3|1,9,36,22
4|1,0,4,64
1*4|1,0,17,17
3*4|1,2,12,37
1*3*4|1,0,34,11
5|1,4,3,64
1*5|1,1,21,16
2*5|1,5,7,55
1*2*5|1,3,43,14
4*5|1,0,8,29
1*4*5|1,0,64,6
3*4*5|1,25,20,37
1*3*4*5|1,16,86,6
6|1,3,2,124
1*6|1,3,21,32
2*6|1,0,5,89
1*2*6|1,6,40,25
3*6|1,2,17,47
1*3*6|1,3,51,16
4*6|1,0,7,42
1*4*6|1,5,54,11
3*4*6|1,1,20,27
1*3*4*6|1,0,76,8
1*3*5*6|1,0,65,16
4*5*6|1,2,11,29
3*4*5*6|1,0,18,15
7|1,23,7,47
1*7|1,0,15,17
2*7|1,0,11,35
1*2*7|1,0,32,13
3*7|1,0,31,23
1*3*7|1,0,47,9
4*7|1,7,41,11
1*4*7|1,0,64,4
5*7|1,0,45,11
1*5*7|1,0,88,3
4*5*7|1,0,75,5
1*4*5*7|1,0,140,1
6*7|1,7,20,32
1*6*7|1,10,28,17
2*6*7|1,0,28,25
1*2*6*7|1,0,56,9
3*6*7|1,0,49,19
1*3*6*7|1,0,71,7
4*6*7|1,3,69,9
1*4*6*7|1,6,100,4
8|1,0,1,151
2*8|1,0,5,108
3*8|1,45,25,55
4*8|1,0,9,49
3*4*8|1,0,24,31
5*8|1,27,7,51
2*5*8|1,9,15,44
4*5*8|1,0,17,22
3*4*5*8|1,0,24,15
6*8|1,51,10,94
2*6*8|1,11,18,71
3*6*8|1,13,40,41
4*6*8|1,5,24,33
3*4*6*8|1,3,39,23
3*5*6*8|1,0,37,41
4*5*6*8|1,0,23,22
3*4*5*6*8|1,0,40,13
9|1,0,2,62
1*9|1,0,32,12
2*9|1,0,26,32
1*2*9|1,0,68,9
3*9|1,10,62,19
1*3*9|1,0,81,7
