node,intermediate_visits,in_degree,out_degree
|1,0,0,64
1|1,18,3,35
2|1,0,2,51
1*2|1,10,10,26
3|1,53,12,24
1*3|1,39,36,15
4|1,12,4,34
1*4|1,10,17,15
3*4|1,17,12,22
1*3*4|1,7,18,10
5|1,10,3,34
1*5|1,11,21,14
2*5|1,17,7,28
1*2*5|1,12,31,12
4*5|1,5,8,21
1*4*5|1,11,40,6
3*4*5|1,27,12,31
1*3*4*5|1,20,34,6
6|1,4,2,44
1*6|1,20,21,21
2*6|1,1,5,35
1*2*6|1,20,28,16
3*6|1,11,17,19
1*3*6|1,10,30,10
4*6|1,5,7,24
1*4*6|1,5,33,9
3*4*6|1,9,12,17
1*3*4*6|1,9,29,7
1*3*5*6|1,10,13,14
4*5*6|1,3,7,24
3*4*5*6|1,4,8,13
7|1,42,7,30
1*7|1,8,15,16
2*7|1,4,11,24
1*2*7|1,8,24,12
3*7|1,8,31,14
1*3*7|1,2,26,8
4*7|1,17,41,9
1*4*7|1,6,40,4
5*7|1,14,45,9
1*5*7|1,6,51,3
4*5*7|1,11,50,5
1*4*5*7|1,0,50,1
6*7|1,25,20,20
1*6*7|1,15,16,16
2*6*7|1,1,20,16
1*2*6*7|1,1,23,8
3*6*7|1,4,28,11
1*3*6*7|1,0,22,6
4*6*7|1,6,45,7
1*4*6*7|1,7,35,4
8|1,0,1,53
2*8|1,2,5,43
3*8|1,51,25,21
4*8|1,6,9,28
3*4*8|1,9,16,20
5*8|1,32,7,29
2*5*8|1,13,12,24
4*5*8|1,6,13,18
3*4*5*8|1,1,12,13
6*8|1,82,10,33
2*6*8|1,5,12,28
3*6*8|1,15,24,16
4*6*8|1,10,15,19
3*4*6*8|1,5,18,14
3*5*6*8|1,0,12,25
4*5*6*8|1,7,10,19
3*4*5*6*8|1,3,16,11
9|1,4,2,39
1*9|1,8,32,11
2*9|1,16,26,22
1*2*9|1,4,53,8
3*9|1,22,62,11
1*3*9|1,2,52,6
4*9|1,19,40,10
1*4*9|1,4,75,3
3*4*9|1,20,39,10
5*9|1,12,24,12
1*5*9|1,2,66,3
2*5*9|1,1,30,10
3*5*9|1,0,48,8
4*5*9|1,6,55,5
1*4*5*9|1,0,51,1
6*9|1,4,5,34
7*9|1,9,23,15
1*7*9|1,2,39,5
2*7*9|1,9,38,10
1*2*7*9|1,33,32,9
3*7*9|1,3,52,7
1*3*7*9|1,0,28,3
4*7*9|1,8,70,4
1*4*7*9|1,0,39,1
5*7*9|1,2,48,5
1*5*7*9|1,0,39,1
4*5*7*9|1,0,37,2
1*4*5*7*9|1,12,25,1
8*9|1,3,5,33
6*8*9|1,82,12,34
10|1,0,1,54
1*10|1,12,5,35
2*10|1,6,5,41
1*2*10|1,5,14,26
4*10|1,16,9,28
1*4*10|1,6,19,15
5*10|1,13,7,28
2*5*10|1,5,12,23
4*5*10|1,3,13,16
6*10|1,4,5,38
2*6*10|1,0,9,29
4*6*10|1,0,11,20
4*5*6*10|1,4,10,17
3*4*5*6*10|1,0,7,14
7*10|1,8,9,35
2*7*10|1,5,17,26
5*7*10|1,13,36,10
4*5*7*10|1,4,34,5
2*6*7*10|1,0,18,18
8*10|1,1,3,45
2*8*10|1,0,10,33
4*8*10|1,6,15,23
5*8*10|1,18,12,24
2*5*8*10|1,9,18,20
4*5*8*10|1,1,20,13
3*4*5*8*10|1,1,12,14
6*8*10|1,3,10,28
2*6*8*10|1,4,15,22
4*6*8*10|1,11,17,15
3*4*6*8*10|1,1,12,16
4*5*6*8*10|1,1,14,13
3*4*5*6*8*10|1,0,13,12
9*10|1,1,4,31
2*9*10|1,5,28,16
4*9*10|1,4,51,7
3*4*9*10|1,4,28,11
5*9*10|1,4,33,8
2*5*9*10|1,2,31,7
4*5*9*10|1,0,48,3
6*9*10|1,2,10,27
7*9*10|1,5,27,16
2*7*9*10|1,5,33,11
5*7*9*10|1,4,34,5
4*5*7*9*10|1,0,23,2
8*9*10|1,3,8,25
2*8*9*10|1,3,30,16
6*8*9*10|1,3,17,22
11|1,1,1,53
1*11|1,62,15,28
2*11|1,4,3,53
1*2*11|1,16,17,26
7*11|1,15,14,31
1*7*11|1,3,15,16
2*7*11|1,4,11,24
8*11|1,0,3,43
2*8*11|1,4,6,43
9*11|1,2,4,31
1*9*11|1,7,32,11
2*9*11|1,3,17,22
6*9*11|1,15,11,38
7*9*11|1,4,22,15
8*9*11|1,2,12,26
2*8*9*11|1,1,14,22
6*8*9*11|1,26,11,30
10*11|1,1,3,46
2*10*11|1,0,6,41
8*10*11|1,0,6,37
2*8*10*11|1,4,10,33
9*10*11|1,0,7,25
6*9*10*11|1,4,10,27
7*9*10*11|1,8,22,16
8*9*10*11|1,0,13,20
6*8*9*10*11|1,0,14,22
12|1,11,6,38
1*12|1,17,9,26
2*12|1,33,20,28
1*2*12|1,4,20,18
3*12|1,35,33,18
1*3*12|1,11,23,13
4*12|1,27,25,20
1*4*12|1,3,20,11
3*4*12|1,8,16,15
1*3*4*12|1,4,14,8
5*12|1,23,21,20
1*5*12|1,21,16,15
2*5*12|1,6,28,17
1*2*5*12|1,12,17,13
4*5*12|1,15,35,10
1*4*5*12|1,0,26,4
3*4*5*12|1,1,30,8
1*3*4*5*12|1,2,22,4
6*12|1,38,10,33
2*6*12|1,14,14,27
3*6*12|1,8,16,17
4*6*12|1,14,16,18
3*4*6*12|1,5,13,13
2*7*12|1,4,19,20
1*2*7*12|1,1,14,12
9*12|1,384,13,62
6*9*12|1,102,9,44
6*9*10*12|1,107,10,44
11*12|1,33,10,44
9*11*12|1,81,11,55
6*9*10*11*12|1,0,7,27
