node,intermediate_visits,in_degree,out_degree
|1,0,0,201
1|1,0,2,53
2|1,0,1,137
1*2|1,0,5,40
3|1,27,12,63
1*3|1,17,34,22
4|1,0,4,64
1*4|1,0,14,17
3*4|1,3,11,37
1*3*4|1,0,33,11
5|1,4,3,64
1*5|1,2,20,16
2*5|1,5,7,55
1*2*5|1,6,41,14
4*5|1,0,7,29
1*4*5|1,0,61,6
3*4*5|1,3,18,18
1*3*4*5|1,0,84,4
6|1,1,2,124
1*6|1,3,19,32
2*6|1,0,5,89
1*2*6|1,6,38,25
3*6|1,4,17,47
1*3*6|1,2,47,16
4*6|1,0,7,42
1*4*6|1,2,52,11
3*4*6|1,2,19,27
1*3*4*6|1,0,71,8
1*3*5*6|1,0,63,8
4*5*6|1,0,11,22
3*4*5*6|1,0,17,15
7|1,3,3,47
1*7|1,0,10,17
2*7|1,0,5,35
1*2*7|1,0,30,13
3*7|1,0,29,23
1*3*7|1,0,44,9
4*7|1,8,38,11
1*4*7|1,0,59,4
5*7|1,0,39,11
1*5*7|1,0,86,3
4*5*7|1,0,64,5
1*4*5*7|1,0,138,1
6*7|1,8,18,32
1*6*7|1,0,26,11
2*6*7|1,0,23,25
1*2*6*7|1,0,54,9
3*6*7|1,0,46,19
1*3*6*7|1,0,67,7
4*6*7|1,3,65,9
1*4*6*7|1,0,95,3
8|1,0,1,151
2*8|1,0,3,108
3*8|1,31,25,54
4*8|1,0,9,49
3*4*8|1,1,23,31
5*8|1,9,7,51
2*5*8|1,8,15,44
4*5*8|1,0,15,22
3*4*5*8|1,0,21,15
6*8|1,18,8,94
2*6*8|1,6,16,71
3*6*8|1,4,34,41
4*6*8|1,0,22,33
3*4*6*8|1,1,34,23
3*5*6*8|1,0,36,23
4*5*6*8|1,0,23,18
3*4*5*6*8|1,0,36,13
9|1,0,1,62
1*9|1,0,25,12
2*9|1,0,18,32
1*2*9|1,0,67,9
3*9|1,11,61,19
1*3*9|1,0,78,7
4*9|1,0,37,12
1*4*9|1,0,107,3
3*4*9|1,0,51,10
5*9|1,0,23,14
1*5*9|1,0,100,3
2*5*9|1,0,38,12
3*5*9|1,1,77,10
4*5*9|1,0,72,5
1*4*5*9|1,0,153,1
6*9|1,0,3,52
7*9|1,0,14,17
1*7*9|1,0,54,5
2*7*9|1,0,40,12
1*2*7*9|1,0,91,4
3*7*9|1,1,80,9
1*3*7*9|1,0,108,3
4*7*9|1,3,104,4
1*4*7*9|1,0,143,1
5*7*9|1,0,62,5
1*5*7*9|1,0,136,1
4*5*7*9|1,0,92,2
1*4*5*7*9|1,0,201,0
8*9|1,0,3,47
6*8*9|1,0,11,43
10|1,0,1,142
1*10|1,0,5,50
2*10|1,0,3,100
1*2*10|1,0,11,38
4*10|1,0,9,46
1*4*10|1,0,27,16
5*10|1,5,7,46
2*5*10|1,5,15,40
4*5*10|1,0,15,19
6*10|1,2,5,88
2*6*10|1,0,11,65
