node,intermediate_visits,in_degree,out_degree
|1,0,0,58
3*4*7*8*9|1,3,18,11
5*7*8*9|1,4,12,18
3*5*7*8*9|1,2,11,10
4*5*7*8*9|1,8,20,26
1*4*5*7*8*9|1,7,20,10
2*4*5*7*8*9|1,1,25,13
3*4*5*7*8*9|1,1,20,13
4*6*7*8*9|1,1,21,14
1*4*6*7*8*9|1,6,31,10
2*4*6*7*8*9|1,2,26,13
3*4*6*7*8*9|1,0,23,8
3*5*6*7*8*9|1,0,13,11
4*5*6*7*8*9|1,1,24,12
1*4*5*6*7*8*9|1,0,24,5
2*4*5*6*7*8*9|1,0,25,7
3*4*5*6*7*8*9|1,0,21,6
10|1,1,1,50
1*10|1,9,6,26
2*10|1,12,8,29
1*2*10|1,54,35,15
3*10|1,1,3,33
4*10|1,0,3,43
1*4*10|1,3,11,24
2*4*10|1,2,9,30
1*2*4*10|1,50,15,20
3*4*10|1,2,6,28
1*5*10|1,1,8,31
3*5*10|1,1,7,35
6*10|1,3,4,40
1*6*10|1,3,12,20
2*6*10|1,9,14,23
3*6*10|1,2,7,26
4*6*10|1,0,7,34
1*4*6*10|1,1,15,19
2*4*6*10|1,3,14,22
1*2*4*6*10|1,13,17,15
3*4*6*10|1,0,10,22
1*5*6*10|1,1,9,17
2*5*6*10|1,10,14,26
3*5*6*10|1,0,9,28
7*10|1,4,3,40
1*7*10|1,18,11,22
3*7*10|1,0,5,28
4*7*10|1,1,9,28
1*4*7*10|1,6,17,17
2*4*7*10|1,3,18,18
1*2*4*7*10|1,30,22,13
3*4*7*10|1,1,13,21
5*7*10|1,6,18,20
1*5*7*10|1,27,12,26
4*5*7*10|1,44,51,11
6*7*10|1,0,6,33
1*6*7*10|1,3,15,18
3*6*7*10|1,2,8,22
4*6*7*10|1,0,14,21
1*4*6*7*10|1,1,20,14
2*4*6*7*10|1,3,23,14
1*2*4*6*7*10|1,7,27,10
3*4*6*7*10|1,2,18,16
5*6*7*10|1,4,12,18
1*5*6*7*10|1,0,16,12
2*5*6*7*10|1,11,14,31
3*5*6*7*10|1,0,14,12
4*5*6*7*10|1,6,63,9
7*8*10|1,0,5,31
4*7*8*10|1,1,9,39
2*4*7*8*10|1,1,13,24
3*4*7*8*10|1,6,11,45
4*6*7*8*10|1,11,21,28
1*4*6*7*8*10|1,1,15,16
2*4*6*7*8*10|1,0,14,18
1*2*4*6*7*8*10|1,0,15,12
9*10|1,2,5,33
1*9*10|1,9,15,16
2*9*10|1,8,11,19
1*2*9*10|1,165,33,31
3*9*10|1,2,8,22
4*9*10|1,2,6,33
1*4*9*10|1,5,16,16
2*4*9*10|1,1,16,18
3*4*9*10|1,2,10,20
5*9*10|1,8,12,27
1*5*9*10|1,36,20,12
2*5*9*10|1,9,15,16
3*5*9*10|1,4,14,17
6*9*10|1,2,9,26
1*6*9*10|1,6,16,12
2*6*9*10|1,7,16,14
3*6*9*10|1,0,13,17
4*6*9*10|1,1,10,24
1*4*6*9*10|1,2,21,11
2*4*6*9*10|1,8,35,13
3*4*6*9*10|1,5,15,14
5*6*9*10|1,7,14,19
1*5*6*9*10|1,7,22,10
2*5*6*9*10|1,6,22,11
3*5*6*9*10|1,1,18,12
4*7*9*10|1,1,11,26
1*4*7*9*10|1,1,23,10
2*4*7*9*10|1,3,18,24
3*4*7*9*10|1,1,14,15
4*5*7*9*10|1,11,16,21
1*4*5*7*9*10|1,5,23,8
3*4*5*7*9*10|1,5,14,10
4*6*7*9*10|1,0,15,19
1*4*6*7*9*10|1,1,27,7
3*4*6*7*9*10|1,0,17,11
