s,f,a,add,del,temp,a_str,start,final
1,2,88575,1,0,0,(+1),|1,1|1
1,3,88577,1,0,0,(+2),|1,2|1
1,4,88578,2,0,0,(+1  2),|1,1*2|1
1,5,88583,1,0,0,(+3),|1,3|1
1,9,88601,1,0,0,(+4),|1,4|1
1,10,88602,2,0,0,(+1  4),|1,1*4|1
1,11,88604,2,0,0,(+2  4),|1,2*4|1
1,12,88605,3,0,0,(+1  2  4),|1,1*2*4|1
1,13,88610,2,0,0,(+3  4),|1,3*4|1
1,14,88611,3,0,0,(+1  3  4),|1,1*3*4|1
1,17,88655,1,0,0,(+5),|1,5|1
1,18,88656,2,0,0,(+1  5),|1,1*5|1
1,19,88658,2,0,0,(+2  5),|1,2*5|1
1,21,88664,2,0,0,(+3  5),|1,3*5|1
1,25,88682,2,0,0,(+4  5),|1,4*5|1
1,26,88683,3,0,0,(+1  4  5),|1,1*4*5|1
1,27,88685,3,0,0,(+2  4  5),|1,2*4*5|1
1,28,88686,4,0,0,(+1  2  4  5),|1,1*2*4*5|1
1,29,88691,3,0,0,(+3  4  5),|1,3*4*5|1
1,31,88694,4,0,0,(+2  3  4  5),|1,2*3*4*5|1
1,33,88817,1,0,0,(+6),|1,6|1
1,34,88818,2,0,0,(+1  6),|1,1*6|1
1,35,88820,2,0,0,(+2  6),|1,2*6|1
1,37,88826,2,0,0,(+3  6),|1,3*6|1
1,41,88844,2,0,0,(+4  6),|1,4*6|1
1,42,88845,3,0,0,(+1  4  6),|1,1*4*6|1
1,43,88847,3,0,0,(+2  4  6),|1,2*4*6|1
1,44,88848,4,0,0,(+1  2  4  6),|1,1*2*4*6|1
1,45,88853,3,0,0,(+3  4  6),|1,3*4*6|1
1,49,88898,2,0,0,(+5  6),|1,5*6|1
1,50,88899,3,0,0,(+1  5  6),|1,1*5*6|1
1,51,88901,3,0,0,(+2  5  6),|1,2*5*6|1
1,53,88907,3,0,0,(+3  5  6),|1,3*5*6|1
1,57,88925,3,0,0,(+4  5  6),|1,4*5*6|1
1,58,88926,4,0,0,(+1  4  5  6),|1,1*4*5*6|1
1,59,88928,4,0,0,(+2  4  5  6),|1,2*4*5*6|1
1,60,88929,5,0,0,(+1  2  4  5  6),|1,1*2*4*5*6|1
1,61,88934,4,0,0,(+3  4  5  6),|1,3*4*5*6|1
1,63,88937,5,0,0,(+2  3  4  5  6),|1,2*3*4*5*6|1
1,65,89303,1,0,0,(+7),|1,7|1
1,66,89304,2,0,0,(+1  7),|1,1*7|1
1,73,89330,2,0,0,(+4  7),|1,4*7|1
1,74,89331,3,0,0,(+1  4  7),|1,1*4*7|1
1,75,89333,3,0,0,(+2  4  7),|1,2*4*7|1
1,76,89334,4,0,0,(+1  2  4  7),|1,1*2*4*7|1
1,77,89339,3,0,0,(+3  4  7),|1,3*4*7|1
1,81,89384,2,0,0,(+5  7),|1,5*7|1
1,82,89385,3,0,0,(+1  5  7),|1,1*5*7|1
1,85,89393,3,0,0,(+3  5  7),|1,3*5*7|1
1,89,89411,3,0,0,(+4  5  7),|1,4*5*7|1
1,97,89546,2,0,0,(+6  7),|1,6*7|1
1,105,89573,3,0,0,(+4  6  7),|1,4*6*7|1
1,106,89574,4,0,0,(+1  4  6  7),|1,1*4*6*7|1
1,107,89576,4,0,0,(+2  4  6  7),|1,2*4*6*7|1
1,108,89577,5,0,0,(+1  2  4  6  7),|1,1*2*4*6*7|1
1,109,89582,4,0,0,(+3  4  6  7),|1,3*4*6*7|1
1,113,89627,3,0,0,(+5  6  7),|1,5*6*7|1
1,114,89628,4,0,0,(+1  5  6  7),|1,1*5*6*7|1
1,115,89630,4,0,0,(+2  5  6  7),|1,2*5*6*7|1
1,117,89636,4,0,0,(+3  5  6  7),|1,3*5*6*7|1
1,121,89654,4,0,0,(+4  5  6  7),|1,4*5*6*7|1
1,129,90761,1,0,0,(+8),|1,8|1
1,130,90762,2,0,0,(+1  8),|1,1*8|1
1,131,90764,2,0,0,(+2  8),|1,2*8|1
1,132,90765,3,0,0,(+1  2  8),|1,1*2*8|1
1,133,90770,2,0,0,(+3  8),|1,3*8|1
1,137,90788,2,0,0,(+4  8),|1,4*8|1
1,138,90789,3,0,0,(+1  4  8),|1,1*4*8|1
1,139,90791,3,0,0,(+2  4  8),|1,2*4*8|1
1,140,90792,4,0,0,(+1  2  4  8),|1,1*2*4*8|1
1,141,90797,3,0,0,(+3  4  8),|1,3*4*8|1
1,145,90842,2,0,0,(+5  8),|1,5*8|1
1,146,90843,3,0,0,(+1  5  8),|1,1*5*8|1
1,147,90845,3,0,0,(+2  5  8),|1,2*5*8|1
1,149,90851,3,0,0,(+3  5  8),|1,3*5*8|1
1,153,90869,3,0,0,(+4  5  8),|1,4*5*8|1
1,154,90870,4,0,0,(+1  4  5  8),|1,1*4*5*8|1
1,155,90872,4,0,0,(+2  4  5  8),|1,2*4*5*8|1
1,156,90873,5,0,0,(+1  2  4  5  8),|1,1*2*4*5*8|1
1,157,90878,4,0,0,(+3  4  5  8),|1,3*4*5*8|1
1,159,90881,5,0,0,(+2  3  4  5  8),|1,2*3*4*5*8|1
1,161,91004,2,0,0,(+6  8),|1,6*8|1
1,162,91005,3,0,0,(+1  6  8),|1,1*6*8|1
1,163,91007,3,0,0,(+2  6  8),|1,2*6*8|1
1,165,91013,3,0,0,(+3  6  8),|1,3*6*8|1
1,169,91031,3,0,0,(+4  6  8),|1,4*6*8|1
1,170,91032,4,0,0,(+1  4  6  8),|1,1*4*6*8|1
1,171,91034,4,0,0,(+2  4  6  8),|1,2*4*6*8|1
1,172,91035,5,0,0,(+1  2  4  6  8),|1,1*2*4*6*8|1
1,173,91040,4,0,0,(+3  4  6  8),|1,3*4*6*8|1
1,177,91085,3,0,0,(+5  6  8),|1,5*6*8|1
1,178,91086,4,0,0,(+1  5  6  8),|1,1*5*6*8|1
1,179,91088,4,0,0,(+2  5  6  8),|1,2*5*6*8|1
1,181,91094,4,0,0,(+3  5  6  8),|1,3*5*6*8|1
1,185,91112,4,0,0,(+4  5  6  8),|1,4*5*6*8|1
1,186,91113,5,0,0,(+1  4  5  6  8),|1,1*4*5*6*8|1
1,187,91115,5,0,0,(+2  4  5  6  8),|1,2*4*5*6*8|1
1,188,91116,6,0,0,(+1  2  4  5  6  8),|1,1*2*4*5*6*8|1
1,189,91121,5,0,0,(+3  4  5  6  8),|1,3*4*5*6*8|1
1,193,91490,2,0,0,(+7  8),|1,7*8|1
1,194,91491,3,0,0,(+1  7  8),|1,1*7*8|1
1,195,91493,3,0,0,(+2  7  8),|1,2*7*8|1
1,197,91499,3,0,0,(+3  7  8),|1,3*7*8|1
1,201,91517,3,0,0,(+4  7  8),|1,4*7*8|1
1,202,91518,4,0,0,(+1  4  7  8),|1,1*4*7*8|1
1,203,91520,4,0,0,(+2  4  7  8),|1,2*4*7*8|1
1,204,91521,5,0,0,(+1  2  4  7  8),|1,1*2*4*7*8|1
1,205,91526,4,0,0,(+3  4  7  8),|1,3*4*7*8|1
1,209,91571,3,0,0,(+5  7  8),|1,5*7*8|1
1,210,91572,4,0,0,(+1  5  7  8),|1,1*5*7*8|1
1,217,91598,4,0,0,(+4  5  7  8),|1,4*5*7*8|1
1,225,91733,3,0,0,(+6  7  8),|1,6*7*8|1
