node,intermediate_visits,in_degree,out_degree
|1,0,0,58
1|1,2,2,31
2|1,3,3,35
1*2|1,59,21,19
3|1,2,2,41
4|1,1,1,51
1*4|1,5,5,29
2*4|1,7,5,35
1*2*4|1,12,6,25
3*4|1,2,3,34
1*3*4|1,0,325,0
5|1,4,2,41
1*5|1,1,3,26
2*5|1,13,9,29
3*5|1,1,3,29
4*5|1,5,5,31
1*4*5|1,3,10,20
2*4*5|1,3,9,24
1*2*4*5|1,5,14,16
3*4*5|1,4,10,21
2*3*4*5|1,0,10,17
6|1,2,1,46
1*6|1,6,10,24
2*6|1,7,7,28
3*6|1,0,5,32
4*6|1,2,3,41
1*4*6|1,4,9,22
2*4*6|1,3,9,27
1*2*4*6|1,3,9,18
3*4*6|1,4,6,26
5*6|1,5,5,35
1*5*6|1,2,6,20
2*5*6|1,9,10,23
3*5*6|1,7,6,24
4*5*6|1,2,9,23
1*4*5*6|1,7,16,14
2*4*5*6|1,2,15,17
1*2*4*5*6|1,1,18,11
3*4*5*6|1,3,16,14
2*3*4*5*6|1,0,14,12
7|1,1,1,51
1*7|1,2,5,27
4*7|1,0,3,40
1*4*7|1,3,9,24
2*4*7|1,2,7,29
1*2*4*7|1,7,8,19
3*4*7|1,3,5,28
5*7|1,9,5,30
1*5*7|1,3,6,19
3*5*7|1,0,6,22
4*5*7|1,24,25,17
6*7|1,3,3,41
4*6*7|1,3,6,30
1*4*6*7|1,2,13,19
2*4*6*7|1,4,11,22
1*2*4*6*7|1,4,10,14
3*4*6*7|1,2,8,21
5*6*7|1,0,6,25
1*5*6*7|1,1,9,17
2*5*6*7|1,8,11,18
3*5*6*7|1,3,8,17
4*5*6*7|1,6,41,11
8|1,3,2,42
1*8|1,7,8,19
2*8|1,3,8,24
1*2*8|1,239,47,11
3*8|1,4,5,29
4*8|1,1,5,35
1*4*8|1,5,13,20
2*4*8|1,7,13,25
1*2*4*8|1,78,14,17
3*4*8|1,3,9,24
5*8|1,1,4,28
1*5*8|1,1,8,15
